Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2022,Nissan,Frontier,14735 km,Truck,3.8L 6cyl.,Automatic,4x4,Red Alert,Grey,null,2,Gas,13.7L/100km,10.6L/100km,38999
2019,Nissan,LEAF,71937 km,Hatchback,Electric,1 Speed Automatic,FWD,Gun Metallic,Black,5,4,Electric,null,null,27188
2018,Nissan,Murano,47108 km,SUV,V6 Cylinder Engine,Automatic,AWD,Magnetic Black Metallic,null,5,4,Gas,11.2L/100km,8.4L/100km,28990
2018,Nissan,LEAF,62331 km,Hatchback,ELECTRIC,Automatic,FWD,Deep Blue Pearl,Black,null,4,Electric,null,null,24998
2019,Nissan,LEAF,63112 km,Hatchback,0,Automatic,FWD,White,Black,null,4,Electric,null,null,36888
2022,Nissan,Frontier,90 km,Truck,V6 Cylinder Engine,Automatic,4WD,Deep Blue Pearl,null,null,null,Gas,13.7L/100km,10.6L/100km,49576
2020,Nissan,Qashqai,77681 km,SUV,2.0,Automatic,AWD,Magnetic Black Metallic,Black,null,4,Gas,9.0L/100km,7.7L/100km,28398
2017,Nissan,Pathfinder,95329 km,SUV,3.5L 6cyl,CVT,4x4,Magnetic Black Metallic,Black,7,4,Gas,12.1L - 12.4L/100km,8.9L - 9.2L/100km,28888
2017,Nissan,Sentra,146613 km,Sedan,1.6L 4cyl,CVT,FWD,Gun Metallic,Black,5,4,Gas,8.9L - 9.1L/100km,7.3L/100km,16888
2013,Nissan,Rogue,146000 km,SUV,2.5,CVT,AWD,Gray,Black,5,4,Gas,9.6L/100km,7.7L/100km,10990
2017,Nissan,Rogue,189279 km,SUV,4 Cylinder Engine 2.5L,Automatic,FWD,White,Black,null,4,Gas,9.2L/100km,7.0L/100km,13499
2014,Nissan,Rogue,144580 km,SUV,4 Cylinder Engine,CVT,AWD,Cayenne Red Metallic,null,null,4,Gas,8.2L/100km,6.2L/100km,14800
2016,Nissan,Rogue,151398 km,SUV,4 Cylinder Engine,CVT,AWD,Brilliant Silver Metallic,null,null,4,Gas,9.5L/100km,7.4L/100km,15900
2021,Nissan,Rogue,45443 km,SUV,2.5L I4 16V GDI DOHC,Automatic,AWD,Glacier White,Charcoal,null,4,Gas,9.2L/100km,7.2L/100km,29950
2016,Nissan,Rogue,149599 km,SUV,4 Cylinder Engine,CVT,AWD,Magnetic Black Metallic,null,null,4,Gas,9.5L/100km,7.4L/100km,15900
2016,Nissan,Rogue,136000 km,SUV,2.5,CVT,AWD,Gun Metallic,Black,5,4,Gas,9.5L/100km,7.4L/100km,15990
2019,Nissan,Rogue,209824 km,SUV,4 Cylinder Engine,Automatic,AWD,Gun Metallic,Black,5,null,Regular Unleaded,9.6L/100km,7.5L/100km,16950
2018,Nissan,Sentra,83100 km,Sedan,1.8L 4-Cylinder DOHC 16V,null,FWD,Graphite Blue Metallic,Charcoal,null,4,Gas,null,null,17995
2018,Nissan,Altima,135500 km,Sedan,4 Cylinder Engine 2.5L,Automatic,FWD,Storm Blue Metallic,Charcoal,null,4,Gas,8.7L/100km,6.3L/100km,17999
2016,Nissan,Rogue,142000 km,SUV,2.5L 4cyl,CVT,AWD,White,Black,null,2,Gas,9.5L/100km,7.4L/100km,18399
2019,Nissan,Sentra,62647 km,Sedan,1.8L 4-Cylinder DOHC 16V,null,FWD,Aspen White Pearl,null,null,4,Gas,null,null,18588
2019,Nissan,Versa,49040 km,Hatchback,4 Cylinder Engine,CVT,FWD,Gun Metallic,Charcoal,5,4,Gas,7.6L - 8.6L/100km,6.2L - 6.6L/100km,18785
2015,Nissan,Murano,86121 km,SUV,V6 Cylinder Engine,Automatic,FWD,Gun Metallic,null,null,null,Gas,11.0L/100km,8.2L/100km,18889
2018,Nissan,Murano,76980 km,Wagon,V6 Cylinder Engine,Automatic,FWD,Gun Metallic,null,null,null,Gas,11.0L/100km,8.3L/100km,28345
2016,Nissan,Murano,160001 km,SUV,V6 Cylinder Engine,CVT,AWD,Arctic Blue Metallic,null,null,4,Gas,11.2L/100km,8.3L/100km,18900
2017,Nissan,Rogue,114054 km,SUV,4 Cylinder Engine,Automatic,FWD,White,Black,5,4,Gas,9.2L/100km,7.0L/100km,18990
2016,Nissan,Juke,56301 km,Wagon,Intercooled Turbo Premium Unleaded I-4 1.6 L/99,CVT,AWD,Super Black,null,5,4,Gas,8.8L/100km,7.5L/100km,19988
2017,Nissan,Murano,137448 km,SUV,V6 Cylinder Engine,CVT,FWD,Pearl White,Black,5,4,Gas,11.0L/100km,8.3L/100km,19990
2016,Nissan,Juke,45986 km,Wagon,4 Cylinder Engine,Automatic,AWD,Pearl White,null,null,4,Gas,8.8L/100km,7.5L/100km,20498
2016,Nissan,Murano,130129 km,SUV,V6 Cylinder Engine,Automatic,AWD,Pacific Sunset Metallic,Beige,5,4,Gas,11.2L/100km,8.3L/100km,20590
2017,Nissan,Qashqai,67379 km,SUV,4 Cylinder Engine,Automatic,FWD,Caspian Blue Metallic,null,null,null,Gas,8.8L - 10.0L/100km,7.3L - 8.1L/100km,20699
2017,Nissan,Qashqai,37329 km,SUV,4 Cylinder Engine,Automatic,AWD,Magnetic Black Metallic,Black,5,4,Gas,9.1L/100km,7.5L/100km,20990
2018,Nissan,Qashqai,63498 km,SUV,4 Cylinder Engine,null,FWD,Magnetic Black Metallic,Charcoal,null,null,Gas,8.8L - 10.0L/100km,7.3L - 8.1L/100km,21385
2021,Nissan,Sentra,21333 km,Sedan,2.0L 4-Cylinder DOHC 16V,Manual,FWD,Fresh Powder,null,5,4,Gas,8.0L - 9.3L/100km,6.0L - 6.3L/100km,22995
2017,Nissan,Rogue,104379 km,SUV,4 Cylinder Engine,CVT,AWD,Pearl White,Black,5,null,Gas,9.6L/100km,7.4L/100km,21895
