Year,Make,Model,Mileage,Price
2013,Acura,RDX,267187,10995
2019,Acura,MDX,76885,37495
2019,Acura,RDX,65115,37499
2019,Acura,RDX,68268,37995
2020,Acura,RDX,34000,40000
2022,Acura,MDX,46912,59495
2020,Acura,TLX,45042,34995
2019,Acura,RDX,93111,38426
2021,Acura,RDX,92078,44995
2007,Acura,RDX,96700,9888
2015,Acura,TLX,163537,14971
2016,Acura,RDX,179301,16399
2018,Acura,RDX,275000,16990
2019,Acura,TLX,43150,33795
2017,Acura,RDX,211000,18999
2016,Acura,ILX,104368,20295
2015,Acura,MDX,205000,20885
2017,Acura,RDX,166813,20950
2016,Acura,MDX,207000,20995
2017,Acura,ILX,95000,21950
2017,Acura,MDX,227681,21995
2017,Acura,RDX,164570,21996
2016,Acura,TLX,127627,21998
2020,Acura,RDX,97450,36488
2019,Acura,ILX,66208,22890
2016,Acura,MDX,174000,22990
2019,Acura,ILX,8278,24471
2017,Acura,RDX,144854,24880
2016,Acura,RDX,113887,24998
2017,Acura,TLX,51945,25888
2017,Acura,MDX,158248,25888
2017,Acura,TLX,105754,25990
2016,Acura,RDX,91829,26590
2019,Acura,TLX,48340,30777
2017,Acura,RDX,90743,27851
2016,Acura,MDX,84179,27990
2016,Acura,MDX,89542,28000
2018,Acura,RDX,104000,28450
2019,Acura,TLX,92276,28495
2019,Acura,TLX,58610,28495
2018,Acura,TLX,81726,28880
2017,Acura,MDX,123206,28898
2018,Acura,TLX,88668,29028
2018,Acura,ILX,33810,26988
2017,Acura,MDX,124623,29686
2019,Acura,TLX,75665,29690
2019,Acura,TLX,41613,29749
2017,Acura,RDX,62965,29777
2018,Acura,RDX,98175,29800
2019,Acura,TLX,89000,29850
2018,Acura,TLX,94000,29888
2017,Acura,MDX,92068,29888
2017,Acura,MDX,111938,29987
2019,Acura,RDX,39621,39998
2020,Acura,ILX,36253,29998
2017,Acura,MDX,107220,29998
2019,Acura,TLX,85350,30495
2019,Acura,TLX,48340,30777
2019,Acura,TLX,62000,30950
2019,Acura,TLX,91759,30995
2016,Acura,RLX,91622,30998
2018,Acura,RDX,69806,31249
2019,Acura,TLX,119000,31450
2017,Acura,MDX,91412,33994
2019,Acura,TLX,53420,31495
2017,Acura,MDX,112565,31499
2019,Acura,ILX,48752,31795
2017,Acura,MDX,101114,31895
2017,Acura,MDX,113125,31908
2017,Acura,MDX,115222,31909
2018,Acura,TLX,61062,31950
2020,Acura,TLX,134000,32450
2019,Acura,TLX,27630,32495
2020,Acura,TLX,53577,34788
2019,Acura,MDX,124467,32500
2020,Acura,TLX,123026,32750
2019,Acura,RDX,134782,32880
2019,Acura,TLX,82000,32950
2017,Acura,MDX,99185,32995
2019,Acura,TLX,29012,33295
2017,Acura,MDX,65522,33390
2019,Acura,TLX,23216,33495
2019,Acura,TLX,43150,33795
2021,Acura,TLX,21448,45295
2019,Acura,TLX,38069,33888
2017,Acura,MDX,91412,33994
2019,Acura,MDX,116802,33995
2019,Acura,TLX,60558,33995
2020,Acura,TLX,67684,33995
2020,Acura,TLX,67688,33999
2019,Acura,RDX,114612,34390
2020,Acura,TLX,43664,34398
2018,Acura,MDX,118800,34488
2021,Acura,RDX,58742,43795
2016,Acura,MDX,87219,34550
2019,Acura,RDX,105349,34664
2020,Acura,TLX,53577,34788
2019,Acura,MDX,141120,34880
2019,Acura,MDX,94572,34900
2018,Acura,MDX,98000,34950
2018,Acura,TLX,68732,34954
2020,Acura,TLX,83001,34995
2018,Acura,RLX,115527,34998
2019,Acura,RDX,57124,39099
2019,Acura,RDX,90274,34998
2020,Acura,TLX,48649,34999
2020,Acura,TLX,29007,34999
2019,Acura,MDX,102000,35480
2019,Acura,MDX,95186,35495
2020,Acura,TLX,70439,35750
2019,Acura,RDX,102000,35850
2020,Acura,TLX,82071,35950
2021,Acura,ILX,9209,35995
2021,Acura,RDX,32479,45295
2018,Acura,MDX,65157,35997
2018,Acura,MDX,77127,36486
2020,Acura,RDX,97450,36488
2019,Acura,MDX,57718,36490
2020,Acura,TLX,28693,36499
2019,Acura,TLX,58610,28495
2019,Acura,RDX,62325,38950
2020,Acura,RDX,48759,39495
2020,Acura,MDX,64714,45499
2021,Acura,RDX,19512,48400
2018,Acura,TLX,106548,28998
2019,Acura,MDX,88199,39495
2018,Acura,RDX,102956,30999
2020,Acura,RDX,61475,44995
2019,Acura,MDX,110434,36850
2019,Acura,RDX,77186,36950
2019,Acura,RDX,77034,36950
2019,Acura,RDX,103286,36995
2020,Acura,MDX,65684,41295
2019,Acura,RDX,75420,37195
2017,Acura,MDX,95263,37490
2019,Acura,MDX,76885,37495
2019,Acura,RDX,68263,37498
2019,Acura,RDX,65115,37499
2020,Acura,TLX,54353,37590
2020,Acura,RDX,65795,37795
2022,Acura,ILX,19385,37950
2020,Acura,MDX,62224,37950
2019,Acura,RDX,57124,39099
2020,Acura,TLX,60360,37990
2019,Acura,RDX,62595,37995
2019,Acura,MDX,91957,37995
2019,Acura,RDX,68268,37995
2019,Acura,MDX,90715,37995
2019,Acura,RDX,75786,38688
2019,Acura,MDX,72554,38888
2019,Acura,RDX,62325,38950
2020,Acura,RDX,79538,38990
2019,Acura,TLX,27630,32495
2019,Acura,RDX,52590,38995
2019,Acura,RDX,81600,38995
2019,Acura,RDX,61006,39088
2020,Acura,RDX,48759,39495
2020,Acura,RDX,88483,39588
2020,Acura,TLX,52337,39799
2019,Acura,RDX,34003,39850
2020,Acura,RDX,99000,39850
2020,Acura,RDX,83981,39890
2020,Acura,TLX,53577,34788
2019,Acura,MDX,80924,39988
2019,Acura,MDX,59708,39988
2019,Acura,RDX,62433,39990
2020,Acura,MDX,96457,39990
2020,Acura,TLX,15746,39995
2019,Acura,MDX,78000,39995
2018,Acura,MDX,52255,39995
2019,Acura,RDX,39621,39998
2020,Acura,RDX,34000,40000
2020,Acura,RDX,48368,42888
2019,Acura,RDX,64691,40400
2019,Acura,RDX,53020,40790
2020,Acura,TLX,49921,40850
2020,Acura,RDX,96233,40888
2019,Acura,RDX,33032,40888
2019,Acura,RDX,36654,40950
2020,Acura,RDX,83493,40990
2020,Acura,MDX,65684,41295
2019,Acura,RDX,45825,41500
2020,Acura,RDX,39100,44988
2020,Acura,RDX,56299,41550
2021,Acura,TLX,38897,41694
2020,Acura,RDX,74112,41777
2020,Acura,RDX,60425,41990
2020,Acura,MDX,53960,41990
2020,Acura,RDX,35473,41990
2020,Acura,MDX,45555,42389
2021,Acura,TLX,19219,42442
2020,Acura,RDX,64010,42495
2021,Acura,TLX,21448,45295
2020,Acura,RDX,41071,42495
2020,Acura,RDX,55628,42499
2020,Acura,RDX,44502,42599
2021,Acura,RDX,72073,42690
2020,Acura,RDX,56139,42888
2020,Acura,RDX,48368,42888
2019,Acura,MDX,65060,42888
2020,Acura,TLX,12980,42888
2021,Acura,RDX,72996,42950
2021,Acura,RDX,32479,45295
2020,Acura,RDX,59380,42994
2023,Acura,Integra,11159,42995
2019,Acura,MDX,52539,42995
2020,Acura,RDX,42017,43290
2020,Acura,RDX,16020,43790
2021,Acura,RDX,58742,43795
2019,Acura,MDX,53052,43880
2020,Acura,MDX,87542,43988
2020,Acura,RDX,45995,43998
2021,Acura,RDX,58742,43795
2021,Acura,RDX,44337,44495
2020,Acura,RDX,50702,44599
2020,Acura,RDX,39100,44988
2020,Acura,RDX,35198,44990
2019,Acura,MDX,55784,44995
2020,Acura,MDX,57590,44997
2021,Acura,RDX,32479,45295
2021,Acura,TLX,21448,45295
2021,Acura,RDX,55468,45390
2019,Acura,RDX,68268,37995
2020,Acura,MDX,44476,45495
2020,Acura,RDX,40619,45495
2020,Acura,MDX,64714,45499
2021,Acura,RDX,39904,45500
2020,Acura,RDX,53943,45588
2020,Acura,RDX,33348,45995
2021,Acura,TLX,46305,45995
2020,Acura,MDX,62354,45995
2020,Acura,MDX,32069,46495
2020,Acura,RDX,97450,36488
2021,Acura,RDX,67950,46989
2020,Acura,MDX,80754,46990
2021,Acura,TLX,29704,47099
2021,Acura,RDX,19487,47965
2021,Acura,RDX,33413,47988
2021,Acura,RDX,33880,47988
2022,Acura,TLX,12239,51988
2019,Acura,RDX,65115,37499
2020,Acura,MDX,62224,37950
2019,Acura,RDX,62325,38950
2019,Acura,RDX,39621,39998
2022,Acura,MDX,23388,66888
2020,Acura,TLX,45042,34995
2019,Acura,RDX,68000,31900
2020,Acura,MDX,38797,46999
2021,Acura,RDX,32194,47998
2021,Acura,RDX,19512,48400
2022,Acura,RDX,24351,48888
2022,Acura,RDX,21621,48988
2019,Acura,TLX,43150,33795
2022,Acura,TLX,30540,49988
2020,Acura,MDX,35690,49995
2022,Acura,TLX,12209,50188
2022,Acura,RDX,29776,52795
2022,Acura,RDX,29947,53999
2022,Acura,MDX,69612,54995
2020,Acura,MDX,54520,54995
2021,Acura,TLX,29841,56295
2021,Acura,TLX,20562,56950
2018,Acura,ILX,33810,26988
2022,Acura,RDX,20040,57500
2021,Acura,TLX,9470,57795
2022,Acura,RDX,8709,58995
2022,Acura,MDX,46912,59495
2022,Acura,MDX,48950,59990
2022,Acura,MDX,48798,59995
2022,Acura,MDX,31000,60899
2022,Acura,MDX,20887,60950
2022,Acura,MDX,60853,60995
2017,Acura,MDX,91412,33994
2022,Acura,MDX,32865,62599
2022,Acura,MDX,49319,62700
2022,Acura,MDX,12596,80950
2013,Acura,RDX,267187,10995
2013,Acura,MDX,316223,11980
2009,Acura,TSX,123535,11999
2011,Acura,MDX,161202,13985
2013,Acura,MDX,223000,13999
2015,Acura,TLX,192552,14888
2019,Acura,RDX,39621,39998
2014,Acura,TL,136541,16900
2014,Acura,RDX,158868,17998
2015,Acura,RDX,172000,17999
2015,Acura,TLX,137835,19450
