Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2019,Acura,TLX,58610 km,Sedan,4 Cylinder Engine 2.4L,Automatic,FWD,Crystal Black Pearl,null,null,4,Gas,10.0L/100km,7.1L/100km,28495
2020,Acura,RDX,96233 km,SUV,2.0L 4cyl,10 Speed Automatic,AWD,Majestic Black Pearl,Black,5,4,Premium Unleaded,11.3L/100km,9.1L/100km,40888
2022,Acura,RDX,29776 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Platinum White Pearl,null,null,4,Gas,11.3L/100km,9.1L/100km,52795
2014,Acura,TL,136541 km,Sedan,6 Cylinder,Automatic,FWD,Silver Moon Metallic,Black,5,4,Gas,10.4L/100km,6.8L/100km,16900
2020,Acura,RDX,27800 km,SUV,2.0L 4cyl,10 Speed Automatic,AWD,Majestic Black Pearl,Black,5,4,Premium Unleaded,11.3L/100km,9.1L/100km,49099
2020,Acura,TLX,31756 km,Sedan,Premium Unleaded V-6 3.5 L/212,Automatic,AWD,Platinum White Pearl,Black,5,4,Gas,12.0L/100km,8.2L/100km,39836
2022,Acura,MDX,45339 km,SUV,Premium Unleaded V-6 3.5 L/212,Automatic,AWD,Apex Blue Pearl,Red,7,4,Gas,12.6L/100km,9.4L/100km,61417
2019,Acura,MDX,88199 km,SUV,Premium Unleaded V-6 3.5 L/212,Automatic,AWD,White Diamond Pearl,Red,7,4,Gas,12.2L/100km,9.0L - 9.5L/100km,39495
2019,Acura,RDX,97128 km,SUV,4 Cylinder Engine,Automatic,AWD,White Diamond Pearl,Black,null,4,Gas,11.0L/100km,8.6L/100km,34980
2009,Acura,TSX,123535 km,Sedan,4 Cylinder Engine,6 Speed Manual,FWD,Silver,Black,5,4,Gas,10.5L/100km,7.0L/100km,11500
2015,Acura,TLX,192552 km,Sedan,4 Cylinder Engine,Automatic,FWD,Bellanova White Pearl,Black,5,null,Gas,9.6L/100km,6.6L/100km,14888
2015,Acura,TLX,163537 km,Sedan,V6 Cylinder Engine,9 Speed Automatic,AWD,Dark Blue,Black,5,4,Gas,11.2L/100km,7.5L/100km,14971
2016,Acura,RDX,179301 km,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Crystal Black Pearl,Black,null,4,Gas,12.4L/100km,8.6L/100km,16399
2021,Acura,RDX,32479 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Modern Steel Metallic,null,null,4,Gas,11.3L/100km,9.1L/100km,45295
