Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2017,BMW,X1,79199 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,null,null,Gas,10.5L/100km,7.4L/100km,25825
2016,BMW,X3,126340 km,SUV,2.0L 4cyl,8 Speed Automatic,AWD,Space Grey Metallic,Black,5,4,Premium Unleaded,11.2L/100km,8.4L/100km,23688
2018,BMW,M2,46402 km,Coupe,6 Cylinder,Automatic,RWD,Black Sapphire Metallic,null,null,2,Gas,13.1L/100km,9.0L/100km,53800
2013,BMW,3,176350 km,Sedan,2.0L L4 DOHC 16V,8 Speed Automatic,AWD,White,Black,null,4,Gas,9.0L/100km,6.0L/100km,10998
2018,BMW,M4,20800 km,Coupe,Straight 6 Cylinder Engine,6 Speed Manual,RWD,Green,Black,4,2,Gas,13.5L/100km,9.3L/100km,94777
2007,BMW,Z4,17703 km,Hatchback,6 Cylinder,6 Speed Manual,RWD,Imola Red,Black,null,2,Gas,14.5L/100km,9.0L/100km,95800
2017,BMW,3,63000 km,Sedan,null,Automatic,AWD,White,null,null,4 doors,Gasoline,null,null,34999
2010,BMW,X3,179823 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,Jet Black,Black,5,4,Gas,12.2L/100km,8.3L/100km,5990
2018,BMW,3,80211 km,Sedan,4 Cylinder Engine,Automatic,AWD,Glacier Silver Metallic,Black,5,4,Gas,10.2L/100km,7.2L/100km,30990
2011,BMW,3,214079 km,Coupe,3.0,Automatic,AWD,White,Black,null,2,Gas,12.3L/100km,7.6L/100km,7950
2013,BMW,528I,165134 km,Sedan,4 Cylinder Engine,Automatic,AWD,Black,Black,null,4,Gas,9.0L/100km,6.0L/100km,13588
2015,BMW,X3,172981 km,SUV,4 Cylinder Engine,Automatic,AWD,Space Grey Metallic,Black,null,null,Gas,9.8L/100km,7.1L/100km,14910
2015,BMW,X1,129846 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Silver,Black,5,4,Gas,10.6L/100km,7.2L/100km,16199
2023,BMW,X5,12878 km,SUV,3L TURBO 6cyl.,Automatic,AWD,White,Brown,null,5,Gas,null,null,91040
2015,BMW,320xDrive,127171 km,Sedan,4 Cylinder Engine,Automatic,AWD,Black,Red,5,null,Gas,10.3L/100km,6.7L/100km,16880
2015,BMW,X3,171508 km,SUV,4 Cylinder Engine,Automatic,AWD,Black,Black,5,null,Diesel,null,null,16950
2014,BMW,X1,87590 km,SUV,2.0L 4 Cylinder Engine,Automatic,AWD,Blue,Beige,5,4,Gas,9.1L/100km,6.2L/100km,17195
2017,BMW,3,156738 km,Sedan,4 Cylinder Engine,Automatic,AWD,Black,Black,5,null,Gas,10.5L/100km,7.4L/100km,18950
2014,BMW,X3,127600 km,SUV,2.0,Automatic,AWD,Space Grey Metallic,Black,null,4,Gas,9.8L/100km,7.1L/100km,18980
2016,BMW,X1,122000 km,SUV,4 Cylinder Engine,Automatic,AWD,Dark Blue,Tan,5,4,Gas,10.7L/100km,7.4L/100km,20777
2014,BMW,4-Series,103490 km,Coupe,4 Cylinder,Automatic,AWD,Mineral White Metallic,Black,null,2,Gas,null,null,20800
2014,BMW,X3,96549 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,Alpine White,Black,5,4,Gas,11.1L/100km,7.7L/100km,20910
2015,BMW,5,124678 km,Sedan,4 Cylinder Engine,Automatic,AWD,Frozen Dark Blue,Beige,5,4,Gas,null,null,20910
2019,BMW,M4,40872 km,Coupe,6 Cylinder,Automatic,RWD,Lime Rock Grey,null,null,2,Gas,14.3L/100km,10.4L/100km,85800
2017,BMW,X3,153000 km,SUV,2.0,Automatic,AWD,White,Beige,5,4,Gas,11.1L/100km,8.5L/100km,21990
2016,BMW,4-Series,153227 km,Sedan,Straight 6 Cylinder Engine,Automatic,AWD,Blue,Cream,null,null,Gas,null,null,22985
2016,BMW,X3,126340 km,SUV,2.0L 4cyl,8 Speed Automatic,AWD,Space Grey Metallic,Black,5,4,Premium Unleaded,11.2L/100km,8.4L/100km,23688
2014,BMW,X5,166653 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,Black,Beige,5,null,Diesel,null,null,23888
2016,BMW,X1,81539 km,SUV,2.0L 4 Cylinder Engine,Automatic,AWD,Grey,Black,5,4,Gas,10.7L/100km,7.4L/100km,23895
2018,BMW,X1,113641 km,Wagon,2.0L 4cyl,8 Speed Automatic,AWD,Grey,Black,null,4,Gas,null,null,23995
2016,BMW,X1,67101 km,SUV,2.0,8 Speed Automatic,AWD,White,Black,5,5,Gas,10.7L/100km,7.4L/100km,24488
2016,BMW,X1,76790 km,Wagon,2.0L 4cyl,8 Speed Automatic,AWD,White,Black,null,2,Premium Unleaded,10.7L/100km,7.4L/100km,24494
2015,BMW,X5,184759 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Space Grey Metallic,null,7,4,Gas,13.0L/100km,8.9L/100km,24500
2019,BMW,330I,53895 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,Mineral White Metallic,null,null,null,Gas,null,null,42981
2012,BMW,6,121000 km,Coupe,8 Cylinder Engine,Automatic,AWD,Red,Tan,4,2,Gas,13.5L/100km,8.3L/100km,24777
2015,BMW,X3,116792 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,White,Brown,5,4,Gas,11.1L/100km,8.4L/100km,24900
2016,BMW,2,109045 km,Coupe,4 Cylinder Engine,Automatic,AWD,Estoril Blue Metallic,Black,4,2,Gas,10.4L/100km,6.8L/100km,24990
2015,BMW,X5,134725 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,Grey,Brown,5,null,Gas,13.0L/100km,8.9L/100km,25450
2015,BMW,5,87817 km,Sedan,2.0,8 Speed Automatic,AWD,White,Black,null,4,Gas,null,null,25480
2016,BMW,5,126000 km,Sedan,2.0,Automatic,AWD,White,Black,5,4,Gas,10.5L/100km,6.9L/100km,25480
2016,BMW,4,96000 km,Coupe,4 Cylinder Engine,Automatic,AWD,Black,Red,4,2,Gas,10.7L/100km,6.9L/100km,25777
2017,BMW,X1,79199 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,null,null,Gas,10.5L/100km,7.4L/100km,25825
2016,BMW,3,67825 km,Sedan,4 Cylinder Engine,Automatic,AWD,Black,Brown,5,4,Gas,10.5L/100km,6.9L/100km,25890
2019,BMW,X5,34086 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,Dark Graphite Metallic,null,7,4,Gas,11.7L/100km,9.1L/100km,73995
2016,BMW,X3,107000 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,Black,Black,null,4,Gas,12.4L/100km,8.7L/100km,25950
2016,BMW,X3,110884 km,SUV,2.0,Automatic,AWD,White,Black,null,4,Gas,11.1L/100km,8.4L/100km,25980
2016,BMW,4,94736 km,Coupe,4 Cylinder Engine,Automatic,AWD,Black,Black,4,2,Gas,10.7L/100km,7.1L/100km,25990
2018,BMW,X1,115000 km,Wagon,4 Cylinder Engine,Automatic,AWD,White,Brown,5,4,Gas,null,null,26850
2016,BMW,4,106319 km,Coupe,4 Cylinder Engine,8 Speed Automatic,AWD,White,Red,5,4,Gas,10.6L/100km,7.2L/100km,26888
2018,BMW,X1,71919 km,Wagon,4 Cylinder Engine,Automatic,AWD,Jet Black,null,null,null,Gas,10.5L/100km,7.4L/100km,26900
2018,BMW,328d,120309 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,Glacier Silver Metallic,null,null,null,Diesel,7.9L/100km,5.9L/100km,26901
2018,BMW,X3,119012 km,SUV,4 Cylinder Engine,Automatic,AWD,Black,Black,5,4,Gas,10.8L/100km,8.0L/100km,26985
2017,BMW,3,97203 km,Sedan,4 Cylinder Engine,Automatic,RWD,Black,Black,5,4,Electric,8.5L/100km,6.9L/100km,26990
2018,BMW,X3,87043 km,SUV,3.0L Turbo Inline-6 Gas,Automatic,AWD,Charcoal,Black,null,4,Gas,11.7L/100km,8.6L/100km,40886
2016,BMW,X3,97723 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Black,null,null,4,Gas,11.1L/100km,8.4L/100km,26995
2016,BMW,X4,156000 km,SUV,Straight 6 Cylinder,Automatic,AWD,Dark Graphite Metallic,Brown,5,4,Gas,12.7L/100km,8.8L/100km,26995
2015,BMW,435i,174532 km,Convertible,Straight 6 Cylinder Engine,Automatic,AWD,Black,Beige,4,null,Gas,12.1L/100km,8.1L/100km,26998
2017,BMW,X3,119000 km,null,4 Cylinder Engine,Automatic,AWD,White,Black,5,4,Gas,null,null,27450
2018,BMW,3,113000 km,Sedan,2.0L 4-Cyl Engine,Automatic,AWD,White,Black,5,4,Gas,10.2L/100km,7.2L/100km,27850
2017,BMW,X1,70554 km,SUV,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,AWD,Alpine White,Black,5,4,Gas,10.7L/100km,7.4L/100km,27950
2016,BMW,3,52000 km,Sedan,2.0L 4-Cyl Twinpower Turbo Engine,Automatic,AWD,Blue,Tan,5,4,Gas,10.5L/100km,6.9L/100km,27950
2018,BMW,X3,138416 km,SUV,4 Cylinder Engine,Automatic,AWD,White,Black,null,null,Gas,10.8L/100km,8.0L/100km,27985
2016,BMW,4,125661 km,Coupe,Straight 6 Cylinder Engine,Automatic,AWD,Blue,null,5,4,Gas,11.8L/100km,7.6L/100km,27990
2018,BMW,4,108880 km,Hatchback,3,Automatic,AWD,Alpine White,Black,5,4,Gas,11.2L/100km,7.6L/100km,32648
2017,BMW,X1,64854 km,SUV,4 Cylinder Engine,Automatic,AWD,Grey,Brown,5,4,Gas,10.5L/100km,7.4L/100km,27990
2016,BMW,X3,125749 km,SUV,Straight 6 Cylinder Engine 3.0L,Automatic,AWD,Space Grey Metallic,null,null,4,Gas,12.7L/100km,8.8L/100km,27995
2017,BMW,530i,169499 km,Sedan,4 Cylinder Engine,Automatic,AWD,Black,Black,5,null,Gas,10.5L/100km,7.4L/100km,27998
2016,BMW,4,92000 km,Coupe,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,AWD,Citrin Black Metallic,Red,4,2,Gas,10.6L/100km,7.2L/100km,28295
2018,BMW,X3,135979 km,SUV,2.0-liter turbocharged I-4,Automatic,AWD,Alpine White,Brown,5,4,Gas,10.8L/100km,8.0L/100km,28500
2016,BMW,i3,24300 km,Hatchback,Electric Motor,1 Speed Automatic,RWD,Solar Orange Metallic w/BMW i Frozen Grey Accent,Brown,4,4,Electric,null,null,28888
2019,BMW,X1,96620 km,Wagon,4 Cylinder Engine,Automatic,AWD,Mineral Grey Metallic,null,null,null,Gas,10.7L/100km,7.5L/100km,28910
2016,BMW,4,151000 km,Coupe,3.0,Automatic,AWD,Black,Black,4,2,Gas,11.9L/100km,7.8L/100km,28990
2018,BMW,3,145955 km,Wagon,4 Cylinder Engine,8 Speed Automatic,AWD,null,null,5,4,Diesel,7.9L/100km,5.9L/100km,28995
2020,BMW,X7,54000 km,SUV,3.0L 6cyl,8 Speed Automatic,AWD,White,Black,null,2,Premium Unleaded,12.0L/100km,9.4L/100km,87900
2018,BMW,3,90532 km,Sedan,2.0,8 Speed Automatic,AWD,Mineral Grey Metallic,Black,null,4,Gas,10.2L/100km,7.2L/100km,29480
2018,BMW,X1,97308 km,SUV,2.0,8 Speed Automatic,AWD,Gray,Black,null,4,Gas,10.5L/100km,7.4L/100km,29480
2018,BMW,X1,68150 km,SUV,4 Cylinder Engine,Automatic,AWD,Grey,Brown,5,4,Gas,10.5L/100km,7.4L/100km,29590
2018,BMW,330I,37996 km,Sedan,4 Cylinder Engine,Automatic,AWD,White,Brown,5,null,Gas,10.2L/100km,7.2L/100km,29880
2017,BMW,X3,92000 km,SUV,2.0,Automatic,AWD,White,Black,5,4,Gas,11.1L/100km,8.5L/100km,29880
2019,BMW,4,94057 km,Sedan,4 Cylinder Engine,Automatic,AWD,Carbon Black Metallic,Black,null,null,Gas,10.5L/100km,7.4L/100km,29900
2018,BMW,X1,65000 km,SUV,4 Cylinder,Automatic,AWD,Gray,Black,5,4,Gas,10.5L/100km,7.4L/100km,29995
2018,BMW,328d,48773 km,Sedan,2.0L 4cyl,8 Speed Automatic,AWD,White,Black,null,2,Diesel,7.8L/100km,5.9L/100km,30480
2017,BMW,2-Series,82223 km,Convertible,4 Cylinder,Automatic,AWD,Deep Sea Blue Metallic,Black,null,2,Gas,10.5L/100km,7.4L/100km,30800
2022,BMW,X5,17246 km,SUV,6 Cylinder,Automatic,AWD,Jet Black,Black,null,4,Gas,null,null,79800
2018,BMW,3,81093 km,Sedan,2.0,8 Speed Automatic,AWD,Mineral Grey Metallic,Brown,5,4,Diesel,7.8L/100km,5.9L/100km,30888
2018,BMW,X1,13188 km,Wagon,4 Cylinder Engine,Automatic,AWD,Glacier Silver Metallic,null,null,null,Gas,10.7L/100km,7.5L/100km,30900
2018,BMW,3,71000 km,Sedan,2.0L 4-Cyl Engine,Automatic,AWD,Black,Black,5,4,Diesel,7.8L/100km,5.9L/100km,30950
2018,BMW,X1,39966 km,Wagon,2.0L 4cyl,8 Speed Automatic,AWD,null,null,null,2,Premium Unleaded,null,null,30990
2018,BMW,X2,51852 km,SUV,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,AWD,Gray,Black,5,4,Gas,null,null,30997
2019,BMW,430i,102211 km,Sedan,4 Cylinder Engine,Automatic,AWD,Alpine White Non-Metallic,Black,5,null,Gas,10.2L/100km,7.2L/100km,30998
2018,BMW,X1,68190 km,SUV,2.0L L4 DOHC 16V,Automatic,AWD,Black,Black,null,4,Gas,10.7L/100km,7.5L/100km,30999
2017,BMW,X3,68814 km,SUV,4 Cylinder Engine,Automatic,AWD,Black Sapphire Metallic,null,null,null,Gas,11.2L/100km,8.4L/100km,31900
2018,BMW,X2,61382 km,Wagon,4 Cylinder Engine,Automatic,AWD,Mediterranean Blue Metallic,null,null,null,Gas,11.0L/100km,7.7L/100km,31900
2022,BMW,X6,5280 km,SUV,8 Cylinder,Automatic,AWD,Black Sapphire Metallic,Black,null,4,Gas,17.9L/100km,13.0L/100km,141800
2019,BMW,X1,52000 km,Wagon,4 Cylinder Engine,Automatic,AWD,Silver,Black,5,4,Gas,10.7L/100km,7.5L/100km,31950
2018,BMW,430i,77541 km,Sedan,2.0,Automatic,AWD,White,Black,null,4,Gas,10.5L/100km,7.4L/100km,31950
2018,BMW,X2,38933 km,SUV,2.0L 4cyl,8 Speed Automatic,AWD,Black,Red,null,2,Premium Unleaded,11.0L/100km,7.7L/100km,31980
2017,BMW,X3,61000 km,SUV,4 Cylinder Engine,Automatic,AWD,Silver,null,5,4,Gas,11.2L/100km,8.4L/100km,31990
2017,BMW,440,115296 km,Hatchback,3.0L 6cyl,8 Speed Automatic,AWD,Blue,Black,null,4,Gas,null,null,31995
2019,BMW,4,104664 km,Sedan,4 Cylinder Engine,Automatic,AWD,Estoril Blue Metallic,null,null,null,Gas,10.5L/100km,7.4L/100km,32500
2019,BMW,X1,39043 km,Wagon,4 Cylinder Engine 2.0L,Automatic,AWD,White,null,null,4,Gas,10.7L/100km,7.5L/100km,32504
2017,BMW,X3,58809 km,SUV,4 Cylinder Engine,Automatic,AWD,Black Sapphire Metallic,null,null,null,Gas,11.1L/100km,8.5L/100km,32800
2020,BMW,2,68893 km,Coupe,4 Cylinder Engine,Automatic,AWD,Black Sapphire Metallic,Black,null,null,Gas,9.9L/100km,7.1L/100km,32800
2018,BMW,X5,75620 km,SUV,3.0L 6cyl,8 Speed Automatic,AWD,Black,Black,null,2,Premium Unleaded,13.0L/100km,9.8L/100km,46209
2016,BMW,X5,134694 km,SUV,8 Cylinder Engine,Automatic,AWD,White,Brown,7,4,Gas,15.7L/100km,11.4L/100km,32985
2019,BMW,X3,109666 km,SUV,2.0L 4cyl,8 Speed Automatic,AWD,Black,Brown,4,4,Gas,10.8L/100km,8.0L/100km,33495
2018,BMW,X4,101000 km,SUV,2.0L 4-Cyl Engine,Automatic,AWD,Black,White,5,4,Gas,11.8L/100km,8.6L/100km,33750
2017,BMW,2-Series,52296 km,Convertible,4 Cylinder,Automatic,AWD,Black Sapphire Metallic,Black,null,2,Gas,10.5L/100km,7.4L/100km,33800
2012,BMW,6,83400 km,Convertible,4.4,Automatic,RWD,Silver,White,5,2,Gas,13.6L/100km,8.3L/100km,33888
2019,BMW,4,84226 km,Sedan,4 Cylinder Engine,Automatic,AWD,Alpine White Non-Metallic,null,null,null,Gas,10.5L/100km,7.4L/100km,33900
2018,BMW,X2,23464 km,Wagon,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White,null,5,4,Gas,11.0L/100km,7.7L/100km,34126
2017,BMW,2,33069 km,Convertible,4 Cylinder Engine,Automatic,AWD,White,null,null,null,Gas,10.5L/100km,7.4L/100km,34399
2018,BMW,5,114000 km,Sedan,2.0L 4-Cyl Engine,Automatic,AWD,Gray,Black,5,4,Gas,10.2L/100km,7.2L/100km,34450
2021,BMW,230,2193 km,Coupe,2.0L 4cyl,8 Speed Automatic,AWD,Black Sapphire Metallic,Black,4,2,Gas,11.2L/100km,7.7L/100km,46950
2016,BMW,X5,78643 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,Grey,null,null,4,Diesel,10.0L/100km,7.6L/100km,34495
2019,BMW,3,50000 km,Sedan,4 Cylinder Engine,Automatic,AWD,White,Black,5,4,Gas,9.5L/100km,6.9L/100km,34777
2018,BMW,4-Series,33175 km,Coupe,4 Cylinder,Automatic,AWD,Alpine White,Black,null,2,Gas,10.5L/100km,7.4L/100km,34800
2017,BMW,X5,68200 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,White,Black,7,4,Gas,13.0L/100km,9.7L/100km,34888
2015,BMW,435i,103339 km,Convertible,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,4,2,Gas,12.1L/100km,8.1L/100km,34888
2016,BMW,X5,116894 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Silver,Black,5,4,Diesel,10.0L/100km,7.6L/100km,34888
2019,BMW,X5,82978 km,SUV,3.0L 6cyl,8 Speed Automatic,AWD,White,White,null,2,Premium Unleaded,null,null,54980
2021,BMW,M3,13900 km,Sedan,6 Cylinder,Automatic,RWD,Dravit Grey Metallic,Black,null,4,Gas,null,null,109800
2016,BMW,428i,108862 km,Sedan,2.0L 4cyl,8 Speed Automatic,AWD,White,Red,5,4,Premium Unleaded,10.6L/100km,7.2L/100km,26999
2011,BMW,X5,195000 km,null,null,Automatic,AWD,Black,null,null,4 doors,Diesel,null,null,14995
2018,BMW,5,63000 km,Sedan,null,Automatic,AWD,Blue,null,null,4 doors,Gasoline - Hybrid,null,null,42500
2018,BMW,M3,36512 km,Sedan,null,Automatic,RWD,White,null,null,4 doors,Gasoline,null,null,68000
2018,BMW,X1,100801 km,Wagon,4 Cylinder Engine,Automatic,AWD,White,Black,5,4,Gas,10.7L/100km,7.5L/100km,27990
2019,BMW,X6,40246 km,SUV,8 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,5,4,Gas,16.6L/100km,12.1L/100km,77898
2012,BMW,535i,168570 km,Sedan,I-6 cyl,8 Speed Automatic,AWD,Black,Black,null,4,Gas,9.7L/100km,6.6L/100km,16950
2018,BMW,4,42097 km,Sedan,2.0L 4cyl,8 Speed Automatic,AWD,White,Black,null,2,Premium Unleaded,10.5L/100km,7.4L/100km,34980
2017,BMW,X5,129000 km,SUV,Straight 6 Cylinder,Automatic,AWD,Gray,Black,5,4,Diesel,10.3L/100km,8.0L/100km,34995
2018,BMW,540,110685 km,Sedan,Straight 6 Cylinder Engine,Automatic,AWD,Blue,Tan,5,null,Gas,11.6L/100km,8.1L/100km,34998
2019,BMW,X3,132739 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,null,null,5,4,Gas,10.8L/100km,8.0L/100km,35195
2021,BMW,X3,64181 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Dark Graphite Metallic,null,5,4,Gas,10.2L/100km,8.2L/100km,46500
