Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2007,Bentley,Continental,69252 km,Sedan,12 Cylinder,Automatic,AWD,Glacier White,Black,null,4,Gas,23.5L/100km,13.8L/100km,44800
2013,Bentley,Continental,17600 km,Sedan,12 Cylinder,Sequential,AWD,Granite Metallic,Black,null,4,Gas,21.4L/100km,12.4L/100km,99800
2015,Bentley,Flying,32847 km,Sedan,8 Cylinder,Automatic,AWD,Thunder Metallic,Beige,null,4,Gas,null,null,119800
2016,Bentley,Continental,59159 km,Coupe,8 Cylinder,Automatic,AWD,Glacier White Solid,Black,4,2,Gas,null,null,126800
2015,Bentley,Continental,109069 km,Convertible,6.0,8 Speed Automatic,AWD,Orange,Black,4,2,Other,null,null,130888
2017,Bentley,Bentayga,70777 km,SUV,12 Cylinder,Automatic,AWD,Anthracite Metallic,Beige,null,4,Gas,19.6L/100km,12.4L/100km,159800
2017,Bentley,Mulsanne,38800 km,Sedan,8 Cylinder Engine,Automatic,null,Black,Brown,5,4,Gas,null,null,237777
2011,Bentley,Continental,94179 km,Sedan,12 Cylinder Engine,6 Speed Automatic,AWD,Grey,Black,4,4,Flexible,null,null,63898
1991,Bentley,Turbo,114841 km,Sedan,V8,Automatic,null,Black,Grey,5,4,Gas,null,null,19910
2007,Bentley,Continental,69252 km,Sedan,12 Cylinder,Automatic,AWD,Glacier White,Black,null,4,Gas,23.5L/100km,13.8L/100km,44800
2006,Bentley,Continental,34112 km,Sedan,W12,Automatic,AWD,Dark Grey,Black,null,4,Gas,21.4L/100km,13.1L/100km,64800
2012,Bentley,Continental,90000 km,Sedan,W12 - TWIN TURBO,6 Speed Automatic,AWD,Black,Black,5,4,Gas,null,null,64985
2008,Bentley,Continental,114000 km,Coupe,12 Cylinder Engine,Automatic,AWD,Black,Black,4,2,Gas,23.5L/100km,13.8L/100km,66500
2020,Bentley,Continental,14365 km,Coupe,12 Cylinder Engine,8 Speed Automatic,AWD,Black Crystal,null,null,null,Gas,19.6L/100km,11.8L/100km,349998
2007,Bentley,Continental,40000 km,Convertible,V12 Cylinder Engine,6 Speed Automatic,AWD,Silver,Black,null,2,Gas,21.4L/100km,13.1L/100km,77999
