Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2018,Dodge,Grand,128999 km,Minivan,V6 Cylinder Engine 3.6L,Automatic,FWD,Indigo Blue,Black,null,4,Flexible,13.7L/100km,9.4L/100km,19900
2017,Dodge,Journey,94189 km,SUV,2.4L L4 DOHC 16V,Automatic,FWD,White,Black,null,4,Gas,12.7L/100km,9.2L/100km,16998
2022,Dodge,Durango,126 km,SUV,5.7L HEMI VVT V8 w/FuelSaver MDS,8 Speed Automatic,4WD,DB Black,Black,null,null,Regular Unleaded,16.7L/100km,10.9L/100km,58988
2021,Dodge,Challenger,2000 km,Coupe,8 Cylinder Engine,8 Speed Automatic,RWD,Go Mango,Black,4,2,Gas,null,null,154777
2012,Dodge,Grand,238268 km,Minivan,null,Automatic,FWD,Black,null,null,5 doors,Gasoline,null,null,6770
2019,Dodge,Grand,109800 km,Minivan,null,Automatic,FWD,Grey,null,null,5 doors,Gasoline,null,null,28800
2020,Dodge,Challenger,34164 km,Coupe,3.6L V6 24V VVT,Automatic,RWD,Torred,Black,5,2,Gas,12.4L/100km,7.8L/100km,41999
2014,Dodge,Grand,139158 km,Minivan,V6 Cylinder Engine,Automatic,FWD,Red,Black,7,4,Gas,12.2L/100km,7.9L/100km,14990
2021,Dodge,Challenger,84 km,Coupe,8 Cylinder Engine,8 Speed Automatic,RWD,White Knuckle,Brown,null,2,Gas,17.6L/100km,10.7L/100km,104995
2012,Dodge,Journey,146019 km,SUV,I-4 cyl,4 Speed Automatic,FWD,Bright Silver Metallic,Grey,null,null,Gas,10.8L/100km,7.5L/100km,6999
2006,Dodge,Ram,163998 km,Truck,8 Cylinder Engine,6 Speed Automatic,4x4,Grey,Grey,5,4,Flexible,16.6L/100km,11.3L/100km,8999
2015,Dodge,Journey,169000 km,SUV,2.4,Automatic,FWD,Pitch Black,Black,5,4,Gas,12.7L/100km,9.1L/100km,9990
2015,Dodge,Journey,165000 km,SUV,3.6,Automatic,AWD,Granite Crystal Metallic,Black,7,4,Gas,14.5L/100km,9.9L/100km,13990
2021,Dodge,Durango,36080 km,SUV,5.7L 8Cyl,8 Speed Automatic,AWD,Granite Crystal Metallic,Black,null,2,Gas,16.7L/100km,10.9L/100km,52999
2015,Dodge,Grand,100567 km,Minivan,V6 Cylinder Engine,Automatic,FWD,Granite Crystal Metallic,Black,7,4,Gas,null,null,15590
2015,Dodge,Grand,102303 km,Minivan,V-6 cyl,Automatic,null,Granite Crystal Metallic,Black,null,null,Flexible,13.7L/100km,9.4L/100km,15995
2016,Dodge,Grand,152292 km,Minivan,V6 Cylinder Engine,6 Speed Automatic,FWD,null,null,7,4,Flexible,13.7L/100km,9.4L/100km,16490
2017,Dodge,Journey,94189 km,SUV,2.4L L4 DOHC 16V,Automatic,FWD,White,Black,null,4,Gas,12.7L/100km,9.2L/100km,16998
2016,Dodge,Grand,152866 km,Minivan,3.6,6 Speed Automatic,FWD,Brilliant Black Crystal Pearl,Black,7,5,Other,13.7L/100km,9.4L/100km,17888
2017,Dodge,Grand,114627 km,Van Regular,3.6L V6 DOHC 24V,Automatic,FWD,Bright White,Black,null,4,Gas,13.7L/100km,9.4L/100km,18888
