Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
1999,Ferrari,F355,38999 km,Convertible,8 Cylinder,Automatic,RWD,Yellow,Black,null,2,Gas,null,null,119800
2005,Ferrari,F430,46962 km,Coupe,8 Cylinder,Automatic,RWD,Black,Black,null,2,Gas,23.5L/100km,14.7L/100km,158800
2008,Ferrari,F430,62560 km,Convertible,8 Cylinder,Automatic,RWD,Corsa Red,Black,null,2,Gas,21.4L/100km,14.7L/100km,168800
2007,Ferrari,599,33801 km,Coupe,12 Cylinder,Automatic,RWD,Daytona Black,Black,null,2,Gas,21.4L/100km,15.7L/100km,189800
1998,Ferrari,355,13755 km,Convertible,8 Cylinder Engine,null,RWD,Rosso Corsa,Beige,null,null,Gas,null,null,189987
2017,Ferrari,California,12797 km,Convertible,8 Cylinder,Automatic,RWD,Blu California,Red,null,2,Gas,14.7L/100km,10.2L/100km,248800
2017,Ferrari,California,14000 km,Convertible,8 Cylinder,Automatic,RWD,Bianco Avus,Black,null,2,Gas,14.7L/100km,10.2L/100km,249800
2021,Ferrari,812,5027 km,Convertible,12 Cylinder Engine,7 Speed Automatic,RWD,Rosso Corsa,null,null,null,Gas,19.6L/100km,15.7L/100km,829987
2021,Ferrari,812,2227 km,Convertible,12 Cylinder Engine,7 Speed Automatic,RWD,Rosso Fuocco,null,null,null,Gas,19.6L/100km,15.7L/100km,859987
1999,Ferrari,F355,38999 km,Convertible,8 Cylinder,Automatic,RWD,Yellow,Black,null,2,Gas,null,null,119800
2009,Ferrari,California,62595 km,Convertible,8 Cylinder Engine,null,null,Black,Black,null,null,Gas,null,null,128588
2005,Ferrari,F430,46962 km,Coupe,8 Cylinder,Automatic,RWD,Black,Black,null,2,Gas,23.5L/100km,14.7L/100km,158800
2011,Ferrari,California,23001 km,Convertible,8 Cylinder,Automatic,RWD,Grigio Alloy Metallic,null,null,2,Gas,18.1L/100km,12.4L/100km,158800
2015,Ferrari,FF,30000 km,Wagon,6.3L,Automatic,AWD,Nero Daytona Metallic,null,4,2,Gas,21.4L/100km,14.7L/100km,229899
2005,Ferrari,F430,50957 km,Convertible,8 Cylinder,Automatic,RWD,Grigio Alloy,Red,null,2,Gas,23.5L/100km,14.7L/100km,158800
2007,Ferrari,F430,30236 km,Convertible,V8,Automatic,RWD,Dark Blue,Cream,2,2,Gas,18.1L/100km,13.8L/100km,165910
2008,Ferrari,F430,62560 km,Convertible,8 Cylinder,Automatic,RWD,Corsa Red,Black,null,2,Gas,21.4L/100km,14.7L/100km,168800
2014,Ferrari,FF,69114 km,Coupe,12 Cylinder Engine,Automatic,AWD,Black,Black,4,2,Gas,21.4L/100km,14.7L/100km,169910
2006,Ferrari,F430,26628 km,Convertible,8 Cylinder,Automatic,RWD,Red,Brown,null,2,Gas,18.1L/100km,13.8L/100km,172800
2007,Ferrari,599,33801 km,Coupe,12 Cylinder,Automatic,RWD,Daytona Black,Black,null,2,Gas,21.4L/100km,15.7L/100km,189800
1998,Ferrari,355,13755 km,Convertible,8 Cylinder Engine,null,RWD,Rosso Corsa,Beige,null,null,Gas,null,null,189987
2008,Ferrari,F430,30682 km,Convertible,8 Cylinder,Automatic,RWD,Black,Black,null,2,Gas,21.4L/100km,14.7L/100km,192800
2007,Ferrari,F430,28000 km,Coupe,null,Automatic,RWD,Red,Black,2,2,Gas,null,null,198888
2008,Ferrari,F430,40375 km,Convertible,4.3L 8cyl,6 Speed Manual,RWD,Black,null,null,2,Premium Unleaded,21.4L/100km,14.7L/100km,175277
2013,Ferrari,FF,46002 km,Coupe,12 Cylinder Engine,Automatic,AWD,Grey,Tan,4,2,Gas,null,null,199910
2008,Ferrari,430,15002 km,Coupe,8 Cylinder Engine,6 Speed Manual,RWD,Red,Black,2,2,Gas,21.4L/100km,14.7L/100km,218800
2014,Ferrari,FF,40470 km,Coupe,12 Cylinder Engine,Automatic,AWD,Black,Black,4,2,Gas,21.4L/100km,14.7L/100km,219910
2015,Ferrari,FF,30000 km,Wagon,6.3L,Automatic,AWD,Nero Daytona Metallic,null,4,2,Gas,21.4L/100km,14.7L/100km,229899
2017,Ferrari,California,12797 km,Convertible,8 Cylinder,Automatic,RWD,Blu California,Red,null,2,Gas,14.7L/100km,10.2L/100km,248800
2017,Ferrari,California,14000 km,Convertible,8 Cylinder,Automatic,RWD,Bianco Avus,Black,null,2,Gas,14.7L/100km,10.2L/100km,249800
2018,Ferrari,GTC4Lusso,59472 km,Wagon,12 Cylinder Engine,Automatic,AWD,White,Blue,4,2,Gas,19.6L/100km,13.8L/100km,259910
2019,Ferrari,Portofino,9959 km,Convertible,Twin Turbo Premium Unleaded V-8 3.9 L/235,Automatic,RWD,Grigio Alloy Metallic,Blue,4,2,Gas,14.7L/100km,10.7L/100km,297888
2013,Ferrari,458,39000 km,Convertible,4.5L,Automatic,RWD,Nero,null,2,2,Gas,null,null,318888
2015,Ferrari,458,20000 km,Coupe,4.5L,Automatic,RWD,Bianco Avus,null,2,2,Gas,null,null,368899
1998,Ferrari,F355,37017 km,null,null,6 Speed Manual,RWD,null,null,2,2,null,null,null,349888
2015,Ferrari,458,20000 km,Coupe,4.5L,Automatic,RWD,Bianco Avus,null,2,2,Gas,null,null,368899
1980,Ferrari,512,15549 km,null,null,null,null,Rosso Corsa,null,null,null,null,null,null,499987
