Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2019,Ford,Edge,31058 km,SUV,: Twin-Scroll 2.0L EcoBoost -inc: auto start-stop,8 Speed Automatic,AWD,Blue Metallic,null,null,null,Gas,11.4L/100km,8.3L/100km,31919
2016,Ford,Explorer,169109 km,SUV,3.5L 6cyl,6 Speed Automatic,4x4,Grey,Black,7,4,Gas,14.9L/100km,10.7L/100km,20000
2022,Ford,Escape,11535 km,SUV,3 Cylinder Engine,8 Speed Automatic,AWD,Agate Black Metallic,Grey,null,4,Gas,9.0L/100km,7.6L/100km,34988
2022,Ford,Edge,63 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Star White Metallic Tri-Coat,Black,null,null,Gas,11.5L/100km,8.4L/100km,51399
2015,Ford,Edge,127000 km,null,null,Automatic,AWD,Grey,null,null,5 doors,Gasoline,null,null,17147
2017,Ford,Escape,73036 km,SUV,2.0,Automatic,AWD,White Platinum Metallic Tri-Coat,Black,null,4,Gas,11.5L/100km,8.7L/100km,23798
2023,Ford,Explorer,null,SUV,4 Cylinder Engine,10 Speed Automatic,4x4,null,null,7,4,Gas,11.7L/100km,8.6L/100km,56730
2022,Ford,Mustang,null,Convertible,8 Cylinder Engine,null,RWD,null,null,4,2,Gas,15.8L/100km,10.4L/100km,59999
2018,Ford,F-150,129330 km,Regular Cab,8 Cylinder Engine,Automatic,4x4,Shadow Black,Black,null,4,Flexible,null,null,43999
2006,Ford,F-150,183000 km,Truck,8 Cylinder Engine,4 Speed Automatic,4x4,Silver,Grey,5,4,Gas,16.5L/100km,11.7L - 12.3L/100km,9750
2013,Ford,Taurus,139648 km,Sedan,3.5L EcoBoost V6,6 Speed Automatic,FWD,Ruby Red Metallic Tinted,Black,5,4,Gas,null,null,10900
2016,Ford,Fiesta,33979 km,Hatchback,4 Cylinder Engine,null,FWD,Shadow Black,null,null,4,Gas,8.5L - 8.7L/100km,6.4L - 6.5L/100km,14896
2012,Ford,F-350,232665 km,Truck Crew Cab,V-8 cyl,6 Speed Automatic,4WD,White,Grey,null,null,Flexible,null,null,15999
2019,Ford,F-250,56127 km,null,null,null,null,White,null,null,null,Gas,null,null,68800
2016,Ford,Escape,153030 km,SUV,4 Cylinder Engine 2.0L,Automatic,4x4,White Platinum Tri-Coat,Black,null,4,Gas,11.4L/100km,8.4L/100km,16495
