Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2023,GMC,Terrain,10 km,SUV,1.5L TURBO DOHC,9 Speed Automatic,AWD,Sterling Metallic,Black,5,4,Gas,9.9L/100km,8.3L/100km,44433
2022,GMC,Yukon,7875 km,SUV,6.2,Automatic,4x4,Midnight Blue Metallic,Beige,7,4,Gas,16.3L/100km,12.7L/100km,105888
2020,GMC,Canyon,77400 km,Crew Cab,3.6L,Automatic,4x4,Summit White,Dark Grey,5,4,Diesel,14.0L/100km,9.9L/100km,37495
2016,GMC,Yukon,127750 km,SUV,8 Cylinder Engine,Automatic,AWD,Onyx Black,Black,null,4,Gas,null,null,42980
2020,GMC,Sierra,66481 km,Truck,8 Cylinder Engine,10 Speed Automatic,4x4,Black,Black,5,4,Gas,14.3L/100km,10.6L/100km,57395
2017,GMC,Sierra,140928 km,Truck,5.3L 8cyl,8 Speed Automatic,4x4,Grey,Black,5,4,Gas,15.0L - 15.9L/100km,10.7L - 11.5L/100km,32888
2022,GMC,Sierra,8 km,Truck,2.7L 4cyl,null,4x4,Summit White,Black,null,2,Gas,13.9L - 18.1L/100km,12.0L - 14.0L/100km,57448
2023,GMC,Acadia,6 km,SUV,3.6L 6cyl,9 Speed Automatic,AWD,Ebony Twilight Metallic,Black,null,2,Gas,12.6L/100km,9.2L/100km,58778
2022,GMC,Sierra,7 km,Truck,5.3L 8cyl,8 Speed Automatic,4x4,Summit White,Black,null,2,Gas,15.4L/100km,12.3L/100km,67993
2016,GMC,Acadia,110013 km,SUV,3.6L V6 SIDI,Automatic,AWD,Ebony Twilight Metallic,Black,null,4,Gas,null,null,19925
2018,GMC,Terrain,103850 km,SUV,Turbo Diesel I4 1.6L/,Automatic,AWD,Ebony Twilight Metallic,null,5,4,Diesel,null,null,24900
2019,GMC,Terrain,50223 km,SUV,4 Cylinder Engine,9 Speed Automatic,AWD,Red Quartz Tintcoat,Black,5,4,Gas,11.2L/100km,9.0L/100km,28997
2018,GMC,Terrain,73143 km,SUV,4 Cylinder Engine,Automatic,AWD,Ebony Twilight Metallic,Black,5,4,Gas,11.2L/100km,9.0L/100km,29087
2020,GMC,Savana,62985 km,Van Regular,8 Cylinder Engine,8 Speed Automatic,RWD,Summit White,Black,2,3,Flexible,null,null,43995
2017,GMC,Acadia,93277 km,SUV,V6 Cylinder Engine,Automatic,AWD,Crimson Red Tintcoat,Grey,6,4,Gas,11.2L - 13.3L/100km,9.4L - 9.5L/100km,29394
2019,GMC,Terrain,65327 km,SUV,4 Cylinder Engine,Automatic,AWD,Grey,Black,5,4,Gas,11.2L/100km,9.0L/100km,31387
2019,GMC,Terrain,75152 km,SUV,4 Cylinder Engine,Automatic,AWD,Ebony Twilight Metallic,White,5,4,Gas,11.2L/100km,9.0L/100km,32387
2018,GMC,Acadia,72094 km,SUV,V6 Cylinder Engine,Automatic,AWD,Ebony Twilight Metallic,Black,6,4,Gas,13.3L/100km,9.5L/100km,32387
2017,GMC,Sierra,127672 km,Truck,5.3L 8cyl,6 Speed Automatic,4x4,Red,Black,5,4,Gas,null,null,33888
2017,GMC,Acadia,80928 km,SUV,V6 Cylinder Engine 3.6L,Automatic,AWD,Ebony Twilight Metallic,Black,null,4,Gas,null,null,35338
2020,GMC,Terrain,38820 km,SUV,4 Cylinder Engine,Automatic,AWD,White,null,null,null,Gas,11.2L/100km,9.0L/100km,36695
2016,GMC,Canyon,28151 km,Truck,6 Cylinder,Automatic,4x4,Onyx Black,Black,5,4,Gas,13.6L/100km,9.9L/100km,36800
2019,GMC,Canyon,98488 km,Crew Cab,3.6L DOHC DI V6 W/VVT,8 Speed Automatic,4x4,Onyx Black,Black,5,4,Gas,14.0L/100km,9.9L/100km,36900
2020,GMC,Terrain,31995 km,SUV,4 Cylinder Engine,Automatic,AWD,Gray,Black,5,4,Gas,11.2L/100km,9.0L/100km,34342
2019,GMC,Sierra,104082 km,Truck,8 Cylinder Engine,Automatic,4x4,Onyx Black,null,null,4,Flexible,null,null,37995
2019,GMC,Sierra,74622 km,Truck,8 Cylinder Engine,Automatic,4x4,Stone Blue Metallic,Black,null,4,Flexible,null,null,37995
2019,GMC,Canyon,113516 km,Crew Cab,DURAMAX 2.8L TURBO DIESEL,6 Speed Automatic,4x4,Dark Sky Metallic,Black,5,4,Diesel,12.2L/100km,8.4L/100km,38500
2021,GMC,Canyon,53345 km,Truck,3.6L 6cyl,Automatic,4x4,Onyx Black,Black,5,4,Gas,14.9L/100km,10.9L/100km,40000
2020,GMC,Savana,118000 km,Van Extended,V6 Cylinder Engine,8 Speed Automatic,RWD,Summit White,null,2,3,Gas,null,null,41988
2020,GMC,Savana,71583 km,Minivan,Gas/Ethanol V8 6.0L/364,Automatic,RWD,Summit White,Black,2,3,Flexible,null,null,41998
2020,GMC,Savana,57628 km,Minivan,6.0L V8,Automatic,RWD,Summit White,null,null,null,Flexible,null,null,43995
