Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2022,Honda,Odyssey,33619 km,Minivan,V6 Cylinder Engine 3.5L,Automatic,FWD,Obsidian Blue Pearl,Black,null,4,Gas,12.2L/100km,8.5L/100km,54799
2021,Honda,Civic,31831 km,Sedan,4 Cylinder Engine,CVT,FWD,Blue,null,null,4,Gas,7.9L/100km,6.1L/100km,28500
2018,Honda,CR-V,41704 km,SUV,4 Cylinder Engine,Automatic,FWD,White Diamond Pearl,Black,5,4,Gas,8.4L/100km,7.0L/100km,27590
2020,Honda,HR-V,85995 km,SUV,1.8L 4cyl,CVT,AWD,Modern Steel Metallic,Black,5,4,Gas,8.8L/100km,7.5L/100km,30488
2019,Honda,Accord,74000 km,Sedan,I-4 cyl,Automatic,null,Platinum White Pearl,Black,null,null,Gas,10.4L/100km,7.4L/100km,33995
2019,Honda,Odyssey,29970 km,Minivan,V6 Cylinder Engine,Automatic,FWD,White Diamond Pearl,Black,null,null,Gas,12.6L/100km,8.4L/100km,34900
2020,Honda,Civic,46500 km,Sedan,2.0,Automatic,FWD,Platinum White Pearl,Black,null,4,Gas,7.9L/100km,6.1L/100km,28388
2019,Honda,Civic,55168 km,Sedan,4 Cylinder Engine,Manual,FWD,Crystal Black Pearl,Black,5,4,Gas,9.3L/100km,6.5L/100km,22990
2019,Honda,Civic,96536 km,Sedan,4 Cylinder Engine,Automatic,FWD,Modern Steel Metallic,Black,5,4,Gas,7.9L/100km,6.1L/100km,24990
2010,Honda,CR-V,256712 km,SUV,4 Cylinder Engine,5 Speed Automatic,4x4,Crystal Black Pearl,null,5,4,Gas,10.1L/100km,7.5L/100km,6889
2013,Honda,Civic,254911 km,Sedan,4 Cylinder Engine 1.8L,Automatic,FWD,Crimson Pearl,Black,null,4,Gas,7.2L/100km,5.0L/100km,7399
2010,Honda,Pilot,204531 km,SUV,V-6 cyl,5 Speed Automatic,4WD,Alabaster Silver Metallic,null,null,null,Gas,13.1L/100km,9.1L/100km,9798
2011,Honda,Pilot,216234 km,SUV,3.5,5 Speed Automatic,4x4,White Diamond Pearl,Beige,null,4,Gas,13.1L/100km,9.1L/100km,12980
2019,Honda,Civic,103084 km,Sedan,I-4 cyl,CVT,FWD,Crystal Black Pearl,Black,null,null,Regular Unleaded,7.9L/100km,6.1L/100km,25645
2015,Honda,Civic,145919 km,Sedan,2.4L 4cyl,6 Speed Manual,FWD,Taffeta White,Red,5,4,Premium Unleaded,10.8L/100km,7.6L/100km,13999
2017,Honda,Civic,172377 km,Coupe,4 Cylinder Engine,Automatic,FWD,Taffeta White,Black,4,null,Regular Unleaded,7.8L/100km,6.0L/100km,14950
2015,Honda,Accord,138794 km,Coupe,4 Cylinder Engine 2.4L,Automatic,FWD,White Orchid Pearl,Black,null,2,Gas,9.0L/100km,6.7L/100km,16799
2019,Honda,Civic,152268 km,Sedan,4 Cylinder Engine,CVT,FWD,Dark Blue,Black,5,4,Gas,7.8L/100km,6.2L/100km,17471
2015,Honda,Odyssey,220005 km,Minivan,V6 Cylinder Engine,Automatic,FWD,White Diamond Pearl,null,null,4,Gas,12.3L/100km,8.5L/100km,17900
