Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2020,Hyundai,Palisade,68938 km,SUV,V6 Cylinder Engine,Automatic,AWD,Steel Graphite,null,7,4,Gas,12.3L/100km,9.6L/100km,45895
2020,Hyundai,Tucson,33014 km,SUV,2.0L 4cyl,6 Speed Automatic,AWD,Blue,Black,5,4,Gas,10.8L/100km,9.2L/100km,29399
2020,Hyundai,Palisade,58452 km,SUV,3.8L 6cyl,8 Speed Automatic,AWD,Hyper White,Black,7,4,Gas,12.3L/100km,9.6L/100km,47888
2021,Hyundai,Tucson,51879 km,SUV,4 Cylinder Engine,Automatic,AWD,Crystal White,Black,5,4,Gas,10.8L/100km,9.2L/100km,32695
2018,Hyundai,Elantra,83844 km,Sedan,4 Cylinder Engine,Automatic,FWD,Blue,Black,5,4,Gas,8.3L - 9.3L/100km,6.4L/100km,18990
2017,Hyundai,Santa,52753 km,SUV,2.4L 4cyl,6 Speed Automatic,FWD,Platinum Graphite,Black,5,4,Gas,11.1L/100km,8.6L/100km,28999
2023,Hyundai,Elantra,80 km,Sedan,1.6,Automatic,FWD,White,Black,null,4,Gas,8.4L/100km,6.6L/100km,39488
2016,Hyundai,Sonata,65000 km,Sedan,null,Automatic,AWD,Silver,null,null,4 doors,Gasoline,null,null,20000
2023,Hyundai,Elantra,788 km,Sedan,4 Cylinder Engine,Automatic,FWD,Cyber Grey,Black,5,4,Gas,8.4L/100km,6.6L/100km,35499
2014,Hyundai,Santa,168000 km,SUV,2.4,6 Speed Automatic,AWD,Frost White Pearl,Black,5,4,Gas,12.4L/100km,9.4L/100km,11990
2017,Hyundai,Elantra,74327 km,Sedan,4 Cylinder Engine,6 Speed Automatic,FWD,Marina Blue Metallic,null,5,4,Gas,8.3L/100km,6.4L/100km,17985
2019,Hyundai,Accent,78401 km,Sedan,4 Cylinder Engine,Automatic,FWD,Silky Silver,Black,5,4,Gas,8.2L/100km,6.2L/100km,17990
2017,Hyundai,Santa,154595 km,SUV,I-4 cyl,6 Speed Automatic,FWD,Frost White,Grey,null,null,Regular Unleaded,11.1L/100km,8.6L/100km,17997
2020,Hyundai,Kona,6068 km,SUV,4 Cylinder Engine,7 Speed Automatic,AWD,Tangerine Comet,Dark Grey,5,4,Gas,9.0L/100km,8.0L/100km,30769
2018,Hyundai,Elantra,73495 km,Sedan,2.0L,Automatic,FWD,Silver,Black,null,4,Gas,8.3L - 9.3L/100km,6.4L/100km,17998
2017,Hyundai,Santa,106661 km,SUV,4 Cylinder Engine,Automatic,AWD,Frost White,null,null,null,Gas,12.0L/100km,9.1L/100km,18900
2018,Hyundai,Sonata,108000 km,Sedan,4 Cylinder Engine,6 Speed Automatic,FWD,null,null,5,4,Gas,9.8L/100km,6.9L/100km,19850
2015,Hyundai,Genesis,113060 km,Sedan,8 Cylinder Engine,8 Speed Automatic,null,Casablanca White Mica,Black,null,null,Gas,17.3L/100km,10.5L/100km,19888
2020,Hyundai,Elantra,92860 km,Sedan,2.0L,Automatic,FWD,Iron Gray,Black,null,4,Gas,7.8L/100km,5.6L/100km,19998
2018,Hyundai,Elantra,70950 km,Sedan,2.0L,Automatic,FWD,Black,Black,null,4,Gas,8.3L - 9.3L/100km,6.4L/100km,19998
2019,Hyundai,Elantra,103373 km,Sedan,I-4 cyl,6 Speed Automatic,FWD,Fiery Red,Black,null,null,Regular Unleaded,8.3L/100km,6.4L/100km,19999
2018,Hyundai,Santa,147000 km,SUV,2.4L 4-Cyl Engine,Automatic,AWD,Twilight Black,Black,5,4,Gas,12.0L/100km,9.1L/100km,20750
2018,Hyundai,Santa,136161 km,SUV,2.4L 4cyl,6 Speed Automatic,AWD,Platinum Graphite,Black,5,4,Gas,12.0L/100km,9.1L/100km,20888
2021,Hyundai,Santa,8086 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Quartz White,null,null,4,Gas,11.0L/100km,8.5L/100km,47980
2020,Hyundai,Elantra,92587 km,Sedan,4 Cylinder Engine,Automatic,FWD,Blue,Black,5,4,Gas,7.8L/100km,5.6L/100km,20990
2017,Hyundai,Santa,103000 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,Twilight Black,Black,5,4,Gas,12.0L/100km,9.1L/100km,21450
2017,Hyundai,Tucson,136000 km,SUV,1.6L Turbo GDI I4 16v DOHC Engine,Automatic,AWD,Black,Black,5,4,Gas,9.9L/100km,8.5L/100km,21450
2017,Hyundai,Santa,97665 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,Twilight Black,Black,5,4,Gas,12.0L/100km,9.1L/100km,21500
2020,Hyundai,Elantra,99039 km,Sedan,1.6L I4 DGI Turbocharged DOHC 16V LEV3-ULEV70 201h,7 Speed Automatic,FWD,Space Black,Black,null,null,Gas,8.9L/100km,7.0L/100km,21988
2021,Hyundai,Venue,66940 km,null,I4,CVT,FWD,Space Black,Black,null,4,Gas,7.9L/100km,7.0L/100km,21995
2017,Hyundai,Santa,143034 km,SUV,V6 Cylinder Engine,Automatic,AWD,Monaco White,null,7,4,Gas,13.0L - 13.9L/100km,9.7L - 10.8L/100km,22890
2018,Hyundai,Santa,129000 km,SUV,V6 Cylinder Engine,6 Speed Automatic,AWD,Iron Frost,Grey,7,4,Gas,13.0L/100km,9.7L/100km,22950
2019,Hyundai,Sonata,85900 km,Sedan,2.4L L4 DOHC 16V,Automatic,FWD,Phantom Black,Black,null,4,Gas,9.3L/100km,7.1L/100km,22998
2017,Hyundai,Elantra,197243 km,Sedan,I-4 cyl,6 Speed Automatic,FWD,Grey,Black,null,null,Gas,8.3L/100km,6.4L/100km,13885
2018,Hyundai,Santa,93676 km,SUV,2.4L GDI I4 DOHC -inc: single exhaust and Dual Con,Automatic,AWD,Platinum Graphite,Grey,5,4,Gas,12.0L/100km,9.1L/100km,22999
2022,Hyundai,Venue,24842 km,SUV,I-4 cyl,6 Speed Manual,FWD,Space Black,Black,null,null,Regular Unleaded,8.6L/100km,6.8L/100km,23146
2019,Hyundai,Kona,65666 km,SUV,4 Cylinder Engine,Automatic,AWD,Blue Lagoon w/Dark Night Grey Roof,Black,5,4,Gas,9.0L/100km,8.0L/100km,23390
2018,Hyundai,Santa,99000 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,Platinum Graphite,Black,5,4,Gas,12.0L/100km,9.1L/100km,23450
2021,Hyundai,Venue,22418 km,null,4 Cylinder Engine,CVT,FWD,Typhoon Silver w/Black Roof,Black,null,null,Gas,7.9L/100km,7.0L/100km,23481
