Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2021,Infiniti,QX50,24592 km,SUV,4 Cylinder Engine,Automatic,AWD,Hermosa Blue Pearl,null,null,null,Gas,10.8L/100km,8.3L/100km,50990
2020,Infiniti,Q50,55952 km,Sedan,V6 Cylinder Engine,7 Speed Automatic,AWD,White,Charcoal,null,null,Gas,12.5L/100km,8.7L/100km,33599
2021,Infiniti,QX50,24592 km,SUV,4 Cylinder Engine,Automatic,AWD,Hermosa Blue Pearl,null,null,null,Gas,10.8L/100km,8.3L/100km,50990
2023,Infiniti,QX60,25 km,SUV,3.5L 6cyl.,Automatic,AWD,Glacier White,Grey,null,5,Gas,11.9L/100km,9.3L/100km,69718
2023,Infiniti,QX60,25 km,SUV,3.5L 6cyl.,Automatic,AWD,2-Tone Warm Titanium/Black Obsidian,Grey,null,5,Gas,11.9L/100km,9.3L/100km,73918
2017,Infiniti,QX70,81172 km,SUV,V6 Cylinder Engine,Automatic,AWD,Majestic White Pearl,null,null,null,Gas,14.5L/100km,10.8L/100km,32790
2023,Infiniti,QX80,25 km,SUV,5.6L 8cyl.,Automatic,AWD,Champagne Quartz Metallic,Grey,null,5,Gas,17.5L/100km,12.2L/100km,96568
2019,Infiniti,QX80,84000 km,null,null,Automatic,AWD,Grey,null,null,4 doors,Gasoline,null,null,48000
2022,Infiniti,Q60,90 km,Coupe,V6 Cylinder Engine,Automatic,AWD,Dynamic Sunstone Red Tripple Clear Coat,null,null,null,Gas,12.5L/100km,9.2L/100km,71090
2013,Infiniti,JX35,164235 km,SUV,3.5,CVT,AWD,Aspen Pearl,Black,7,4,Gas,11.5L/100km,8.5L/100km,13888
2016,Infiniti,Q70,228210 km,Sedan,V6 Cylinder Engine,Automatic,AWD,Majestic White Pearl,Black,5,4,Gas,13.2L/100km,9.7L/100km,17888
2016,Infiniti,Q50,162000 km,Sedan,V6 Cylinder Engine,7 Speed Automatic,AWD,Black,Black,5,4,Gas,12.3L/100km,8.5L/100km,17950
2013,Infiniti,JX35,107000 km,SUV,6 Cylinder,Automatic,AWD,Platinum Ice,Black,7,4,Gas,11.5L/100km,8.5L/100km,17999
2019,Infiniti,QX80,82800 km,SUV,8 Cylinder Engine 5.6L,Automatic,4x4,Black,Grey,null,4,Gas,17.4L/100km,12.2L/100km,46904
2016,Infiniti,Q50,148000 km,Sedan,V6 Cylinder Engine,7 Speed Automatic,AWD,Black,Black,5,4,Gasoline Hybrid,8.4L/100km,6.9L/100km,22950
2015,Infiniti,QX70,149000 km,SUV,V6 Cylinder Engine,Automatic,AWD,Aspen Pearl,Black,5,4,Gas,14.6L/100km,10.7L/100km,23777
2017,Infiniti,Q50,57366 km,Sedan,V6 Cylinder Engine,7 Speed Automatic,AWD,Black,Black,5,4,Gas,12.6L/100km,8.8L/100km,24971
2015,Infiniti,QX70,136615 km,SUV,V6 Cylinder Engine,Automatic,AWD,Aspen Pearl,Charcoal,null,null,Gas,14.6L/100km,10.7L/100km,24979
2017,Infiniti,QX50,81988 km,SUV,3.7L V6 DOHC 24V,7 Speed Automatic,AWD,Black,null,null,2,Gas,13.7L/100km,9.8L/100km,24999
2017,Infiniti,QX30,63718 km,SUV,4 Cylinder Engine,Automatic,AWD,Asgard Grey Metallic,Black,5,4,Gas,10.6L/100km,8.0L/100km,25190
2018,Infiniti,Q50,115000 km,Sedan,6 Cylinder,Automatic,AWD,Mocha Almond Metallic,Black,5,4,Gas,12.4L/100km,8.7L/100km,25995
2017,Infiniti,QX60,119000 km,SUV,3.5L V6 Cylinder Engine,Automatic,AWD,Platinum Ice Metallic,Black,7,4,Gas,12.5L/100km,9.1L/100km,26450
2017,Infiniti,Q50,88546 km,Sedan,3.0,Automatic,AWD,Platinum Ice Metallic,Black,5,4,Gas,12.3L/100km,8.5L/100km,26888
