Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2018,Jaguar,F-Pace,75530 km,SUV,6 Cylinder,Automatic,AWD,Fuji White,Red,null,4,Gas,13.3L/100km,10.0L/100km,39800
2019,Jaguar,F-Pace,57017 km,SUV,4 Cylinder,Automatic,AWD,Corris Grey Metallic,null,null,4,Gas,10.7L/100km,8.8L/100km,39800
2019,Jaguar,F-Pace,86800 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,White,Red,5,4,Gas,null,null,45777
2017,Jaguar,XJ,41000 km,Sedan,3.0L,Automatic,AWD,Ultimate Black Metallic,Black,5,4,Gas,14.0L/100km,9.0L - 9.4L/100km,46888
2020,Jaguar,F-Type,59293 km,Coupe,6 Cylinder,Automatic,AWD,Fuji White,null,null,2,Gas,13.0L/100km,9.2L/100km,68800
2015,Jaguar,XF,136000 km,Sedan,null,Automatic,AWD,null,null,null,4 doors,Gasoline,null,null,22500
2017,Jaguar,F-Pace,90107 km,SUV,V6 Cylinder Engine,Automatic,AWD,Tan,Black,5,4,Gas,13.3L/100km,10.0L/100km,32990
2021,Jaguar,F-Type,16442 km,Sedan,3,Automatic,AWD,Santorini Black Metallic,Red,null,2,Gas,13.0L/100km,9.2L/100km,109990
2003,Jaguar,XK,187451 km,Coupe,8 Cylinder Engine,Automatic,RWD,Midnight,Beige,4,2,Gas,13.3L/100km,8.4L/100km,14888
2014,Jaguar,XF,134859 km,Sedan,V6 Cylinder Engine,Automatic,AWD,Black,Orange,5,4,Gas,14.7L/100km,9.1L/100km,17888
2014,Jaguar,XF,110000 km,Sedan,6 Cylinder,Automatic,AWD,Black,Black,5,4,Gas,14.7L/100km,9.1L/100km,18995
2013,Jaguar,XJ,171000 km,Sedan,6 Cylinder,Automatic,AWD,Blue,Brown,5,4,Gas,13.2L/100km,8.1L/100km,18999
2017,Jaguar,XE,174000 km,Sedan,6 Cylinder,Automatic,AWD,Black,Black,5,4,Gas,11.8L/100km,8.2L/100km,19995
2021,Jaguar,F-Pace,31258 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Firenze Red Metallic,Black,null,4,Gas,10.7L/100km,8.8L/100km,56922
2014,Jaguar,XF,94000 km,Sedan,4 Cylinder,Automatic,RWD,Gray,Black,5,4,Gas,null,null,19995
2015,Jaguar,XF,143000 km,Sedan,6 Cylinder,Automatic,AWD,Black,Brown,5,4,Gas,null,null,19995
2015,Jaguar,XF,101339 km,Sedan,3.0,8 Speed Automatic,AWD,Grey,Brown,null,4,Gas,null,null,20950
2015,Jaguar,XJ,131000 km,Sedan,3.0L,Automatic,AWD,Stratus Grey Metallic,Black,5,4,Gas,14.6L/100km,9.6L/100km,24889
2011,Jaguar,XJ,52950 km,Sedan,5.0,6 Speed Automatic,RWD,Blue,White,5,4,Gas,15.7L/100km,10.7L/100km,27888
2017,Jaguar,XF,88000 km,Sedan,2.0L 4-Cyl Engine,Automatic,AWD,Gray,Red,5,4,Diesel,7.8L/100km,5.8L/100km,27950
2017,Jaguar,XE,118837 km,Sedan,V6 Cylinder Engine,Automatic,AWD,Black,Red,5,4,Gas,11.8L/100km,8.2L/100km,27985
2018,Jaguar,XE,67000 km,Sedan,4 Cylinder Engine,Automatic,AWD,Black,Black,5,4,Diesel,7.8L/100km,5.8L/100km,28450
2007,Jaguar,XKR,140000 km,Convertible,8 Cylinder Engine,6 Speed Automatic,RWD,Silver,Black,4,2,Gas,13.1L/100km,8.7L/100km,28985
2019,Jaguar,I-Pace,51072 km,SUV,MOTEUR ÉLECTRIQUE,Automatic,4x4,Black,null,null,4,Electric,null,null,69761
2007,Jaguar,XK,140000 km,Convertible,8 Cylinder Engine,6 Speed Automatic,RWD,Silver,Black,4,2,Gas,13.1L/100km,8.7L/100km,28985
2017,Jaguar,F-Pace,183781 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Black,Red,5,4,Gas,13.3L/100km,10.0L/100km,29888
2019,Jaguar,XF,115000 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,Gray,White,5,4,Gas,10.1L/100km,7.2L/100km,32750
2017,Jaguar,XE,29319 km,Sedan,V6 Cylinder Engine,Automatic,AWD,Black,Blue,5,4,Gas,11.8L/100km,8.2L/100km,34910
2019,Jaguar,F-Pace,76000 km,SUV,4 Cylinder Engine,Automatic,AWD,White,White,5,4,Diesel,8.9L/100km,7.2L/100km,35950
2017,Jaguar,F-Pace,80570 km,SUV,6 Cylinder,Automatic,AWD,Polaris White,Red,null,4,Gas,13.3L/100km,10.0L/100km,36800
2017,Jaguar,F-Pace,74530 km,SUV,6 Cylinder,Automatic,AWD,Polaris White,Tan,null,4,Gas,13.3L/100km,10.0L/100km,36800
2018,Jaguar,F-Pace,50113 km,SUV,4 Cylinder,Automatic,AWD,Indus Silver Metallic,null,null,4,Gas,10.7L/100km,8.8L/100km,36800
2017,Jaguar,F-Pace,69488 km,SUV,6 Cylinder,Automatic,AWD,Italian Racing Red Metallic,Black,null,4,Gas,13.3L/100km,10.0L/100km,36800
