Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2018,Jeep,Wrangler,50273 km,SUV,3.6L V6 24V VVT,null,4WD,Black,Black,null,null,Gas,12.8L - 13.7L/100km,9.6L - 10.4L/100km,32788
2020,Jeep,Grand,41070 km,SUV,3.6L 6cyl,8 Speed Automatic,4x4,Billet Silver Metallic,Black,5,4,Gas,12.7L/100km,9.6L/100km,37999
2020,Jeep,Gladiator,100450 km,Truck,3.6,Automatic,AWD,Grey,Black,null,4,Gas,13.7L - 14.3L/100km,10.4L - 10.7L/100km,52188
2022,Jeep,Wrangler,6676 km,SUV,Premium Unleaded V-8 6.4 L/392,Automatic,4x4,Granite Crystal Metallic,Black,null,4,Gas,18.5L/100km,14.1L/100km,109900
2022,Jeep,Grand,61 km,SUV,2.0L DOHC I-4 DI Turbo PHEV,8 Speed Automatic,4WD,Silver Zynith,null,null,null,Premium Unleaded,10.3L/100km,9.7L/100km,81988
2022,Jeep,Wagoneer,55 km,null,5.7L V8 w/eTorque,null,null,Baltic Grey Metallic,null,null,null,Regular Unleaded,null,null,83988
2019,Jeep,WRANGLER,76116 km,SUV,3.6L V6,8 Speed Automatic,4x4,Black,Black,5,4,Gas,12.9L - 13.8L/100km,10.1L - 10.2L/100km,47885
2021,Jeep,Grand,13740 km,SUV,3.6L,Automatic,4x4,Slate Blue Pearl,null,5,4,Gas,12.7L/100km,9.6L/100km,57995
2015,Jeep,Cherokee,134528 km,SUV,2.4,Automatic,4x4,Bright White,Black,5,4,Gas,11.3L - 11.4L/100km,8.3L - 8.6L/100km,22885
2015,Jeep,Cherokee,95643 km,SUV,4 Cylinder Engine,Automatic,4x4,Deep Cherry Red Crystal Pearl,Black,5,4,Gas,11.3L/100km,8.3L/100km,17395
2016,Jeep,Cherokee,72726 km,SUV,Regular Unleaded I-4 2.4 L/144,Automatic,FWD,True Blue Pearl,Black,5,4,Gas,10.9L/100km,7.7L/100km,17498
2016,Jeep,Cherokee,102114 km,SUV,4 Cylinder Engine,Automatic,AWD,Deep Cherry Red Crystal Pearl,Black,5,null,Regular Unleaded,11.3L/100km,8.3L/100km,17880
2012,Jeep,WRANGLER,182000 km,SUV,3.6,Automatic,4x4,Black,Black,5,4,Gas,13.2L - 13.4L/100km,9.6L - 10.0L/100km,18990
2018,Jeep,Compass,32703 km,SUV,4 Cylinder Engine,9 Speed Automatic,4x4,White,null,5,4,Gas,10.8L/100km,7.8L/100km,31995
2017,Jeep,Cherokee,118616 km,SUV,2.4,9 Speed Automatic,FWD,Deep Cherry Red Crystal Pearl,Black,null,4,Gas,11.0L/100km,7.8L/100km,19780
2015,Jeep,Cherokee,114241 km,SUV,3.2L V6,null,AWD,True Blue Pearl,null,null,null,Gas,12.2L/100km,9.0L/100km,19998
2017,Jeep,Patriot,77833 km,SUV,4 Cylinder Engine,6 Speed Automatic,4x4,Recon Green,Black,5,4,Gas,11.7L/100km,9.2L/100km,20490
2016,Jeep,Cherokee,116267 km,SUV,4 Cylinder Engine,9 Speed Automatic,FWD,Billet Silver Metallic,Black,5,4,Flexible,11.4L/100km,8.1L/100km,20990
2015,Jeep,Grand,186602 km,SUV,3.0L 6cyl,8 Speed Automatic,4x4,Grey,Black,5,4,Diesel,11.2L - 13.9L/100km,8.4L - 9.8L/100km,20998
2016,Jeep,Cherokee,115009 km,SUV,V6 Cylinder Engine 3.2L,Automatic,4x4,Deep Cherry Red Crystal Pearl,Black,null,4,Gas,12.5L/100km,8.9L/100km,21900
2019,Jeep,Compass,36819 km,SUV,4 Cylinder Engine,Automatic,FWD,White,Black,5,4,Gas,10.4L - 10.6L/100km,7.3L - 7.6L/100km,22471
2018,Jeep,Compass,132566 km,SUV,2.4L I4,9 Speed Automatic,4WD,Diamond Black Crystal Pearl,null,null,null,Gas,10.8L/100km,7.8L/100km,22990
