Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2022,Kia,Sorento,17301 km,SUV,2.5L Turbo GDI 4-Cylinder DOHC D-CVVT -inc: Igniti,Automatic,AWD,Glacial White Pearl,Black,null,4,Gas,10.9L/100km,8.7L/100km,49963
2020,Kia,Stinger,58151 km,Sedan,3.3L Twin-Turbo GDI V6,Automatic,AWD,Grey,Black,null,4,Gas,13.6L/100km,9.6L/100km,42644
2017,Kia,Forte,147545 km,Sedan,2.0,6 Speed Automatic,FWD,Urban Grey Metallic,Black,5,4,Gas,9.4L/100km,7.0L/100km,16888
2023,Kia,Seltos,20 km,SUV,2.0L MPI DOHC I4 W/D-CVVT -INC: IDLE STOP AND GO,CVT,AWD,Onyx,Black,5,4,Gas,8.8L/100km,7.6L/100km,30295
2023,Kia,Sportage,23 km,SUV,2.5L GDI+MPI DOHC I4 CVVT -INC: IDLE, STOP AND GO,Automatic,AWD,Vesta Blue,Black,5,4,Gas,10.4L/100km,8.5L/100km,37832
2012,Kia,Sorento,222000 km,null,null,Automatic,AWD,White,null,null,5 doors,Gasoline,null,null,9000
2015,Kia,Sportage,97000 km,null,null,Automatic,FWD,Silver,null,null,4 doors,Gasoline,null,null,17000
2016,Kia,Forte,138561 km,Hatchback,2.0L 4cyl,6 Speed Automatic,FWD,Aurora Black,Black,5,4,Gas,9.5L - 9.7L/100km,6.9L - 7.2L/100km,13888
2015,Kia,Forte,118216 km,Sedan,1.8L 4cyl,6 Speed Automatic,FWD,Silver,Black,5,4,Gas,8.8L - 9.3L/100km,6.1L - 6.3L/100km,13888
2014,Kia,Rondo,150790 km,Wagon,4 Cylinder Engine,Automatic,FWD,Fathom Blue Pearl,null,null,4,Gas,9.2L/100km,6.3L/100km,9000
2015,Kia,Sorento,174016 km,SUV,4 Cylinder Engine 2.4L,Automatic,FWD,null,Black,null,4,Gas,10.4L/100km,7.1L/100km,11399
2017,Kia,Sorento,138000 km,SUV,2.4,6 Speed Automatic,AWD,Gray,Black,5,4,Gas,11.5L/100km,9.3L/100km,15990
2016,Kia,Optima,143122 km,Sedan,4 Cylinder Engine 2.0L,Automatic,FWD,Ebony Black,Black,null,4,Gas,10.9L/100km,7.4L/100km,16999
2022,Kia,Soul,10748 km,Hatchback,2.0L I4 MPI DOHC 16V LEV3-SULEV30 147hp,CVT,FWD,Gravity Grey,Black,null,null,Gas,8.5L/100km,7.0L/100km,28500
2017,Kia,Sorento,117290 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Snow White Pearl,Black,null,4,Gas,12.3L/100km,9.4L/100km,17500
2016,Kia,Sorento,183000 km,SUV,3.3,Automatic,AWD,Snow White Pearl,Black,7,4,Gas,13.4L/100km,9.4L/100km,17990
2016,Kia,Sorento,104917 km,SUV,4 Cylinder Engine,Automatic,AWD,Ebony Black,Black,5,4,Gas,12.3L/100km,9.3L/100km,18890
2017,Kia,Optima,42655 km,Sedan,2.0L 4cyl,6 Speed Automatic,FWD,Aurora Black,Black,5,4,Gasoline Hybrid,6.0L/100km,5.1L/100km,19999
2018,Kia,Sportage,53334 km,SUV,4 Cylinder Engine,Automatic,FWD,Black Cherry,null,5,4,Gas,10.3L/100km,7.8L/100km,20565
2017,Kia,Sportage,89620 km,SUV,4 Cylinder Engine,Automatic,AWD,Silver,null,null,null,Gas,11.3L/100km,9.5L/100km,20877
2019,Kia,Optima,126000 km,Sedan,4 Cylinder Engine,6 Speed Automatic,FWD,Lightning Blue Metallic,Black,5,4,Gas,9.5L/100km,7.1L/100km,20950
2016,Kia,Soul,62658 km,Hatchback,Electric,1 Speed Automatic,FWD,Onyx/Inferno Red Two-Tone,Grey,null,4,Electric,null,null,20995
2020,Kia,Forte,74000 km,Sedan,2.0,Automatic,FWD,Hyper Blue,Black,5,4,Gas,7.9L/100km,5.9L/100km,21990
2020,Kia,Stinger,58151 km,Sedan,3.3L Twin-Turbo GDI V6,Automatic,AWD,Grey,Black,null,4,Gas,13.6L/100km,9.6L/100km,42644
2019,Kia,Soul,45470 km,Hatchback,4 Cylinder Engine 1.6L,Automatic,FWD,Polar White,Black,null,4,Gas,9.1L/100km,7.7L/100km,22489
2019,Kia,Sorento,112818 km,SUV,V6 Cylinder Engine,Automatic,AWD,Blaze Blue Metallic,Grey,7,4,Gas,12.5L/100km,9.7L/100km,22890
2020,Kia,Forte5,79776 km,Hatchback,1.6L Turbo GDI 4 Cyl DOHC D-CVVT,Automatic,FWD,Orange Delight,Black,null,4,Gas,8.9L/100km,6.9L/100km,22994
2021,Kia,Forte,93301 km,Sedan,2.0L 4cyl,CVT,FWD,Aurora Black,Black,null,2,Gas,7.8L/100km,5.9L/100km,22999
