Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2019,Lincoln,Nautilus,84053 km,SUV,2.0L 4cyl,8 Speed Automatic,AWD,Infinite Black Metallic,Brown,5,4,Premium Unleaded,12.0L/100km,9.6L/100km,33999
2019,Lincoln,Nautilus,63686 km,SUV,2.7,Automatic,AWD,Magnetic Grey Metallic,Black,5,4,Gas,null,null,37888
2021,Lincoln,Corsair,44423 km,SUV,2.0,Automatic,AWD,Infinite Black,Black,null,4,Gas,null,null,43888
2021,Lincoln,Corsair,34551 km,SUV,2.0,8 Speed Automatic,4WD,Infinite Black,Black,5,4,Gas,null,null,43888
2021,Lincoln,Corsair,23500 km,SUV,I-4 cyl,Automatic,4WD,White,Black,null,null,Premium Unleaded,null,null,45998
2020,Lincoln,Nautilus,13534 km,SUV,2.7L TWIN-TURBOCHARGED V6,8 Speed Automatic,AWD,Ceramic Pearl Metallic Tri-Coat,null,null,4,Gas,12.5L/100km,9.2L/100km,47988
2022,Lincoln,Nautilus,null,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,null,null,5,4,Gas,11.8L/100km,9.4L/100km,58145
2022,Lincoln,Corsair,null,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,null,null,5,4,Gas,11.1L/100km,8.1L/100km,58245
2015,Lincoln,MKZ,188000 km,Sedan,4 Cylinder,Automatic,FWD,Tuxedo Black Metallic,Brown,5,4,Gas,10.5L/100km,7.0L/100km,11995
2014,Lincoln,MKT,132000 km,SUV,6 Cylinder,Automatic,AWD,White Platinum Metallic Tri-Coat,Black,6,4,Gas,14.8L/100km,10.4L/100km,19895
2018,Lincoln,MKC,72719 km,SUV,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,AWD,Black Velvet,null,5,4,Gas,12.3L/100km,9.3L/100km,29850
2019,Lincoln,MKC,22736 km,SUV,4 Cylinder Engine,Automatic,4WD,Infinite Black Metallic,Black,null,null,Gas,12.3L/100km,9.3L/100km,31995
2019,Lincoln,MKC,50753 km,SUV,: 2.0L TURBOCHARGED I-4,6 Speed Automatic,4WD,White,Black,null,null,Gas,12.2L - 12.3L/100km,9.3L/100km,33487
2018,Lincoln,MKZ,112677 km,Sedan,2.0L 4cyl,6 Speed Automatic,AWD,Black Velvet,null,5,4,Premium Unleaded,11.8L/100km,8.4L/100km,26987
2019,Lincoln,Nautilus,84053 km,SUV,2.0L 4cyl,8 Speed Automatic,AWD,Infinite Black Metallic,Brown,5,4,Premium Unleaded,12.0L/100km,9.6L/100km,33999
2019,Lincoln,Nautilus,63686 km,SUV,2.7,Automatic,AWD,Magnetic Grey Metallic,Black,5,4,Gas,null,null,37888
2021,Lincoln,Corsair,35658 km,SUV,2.0,Automatic,AWD,White,Black,null,4,Gas,null,null,43888
