Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2020,MINI,3,28041 km,Hatchback,2.0L 4cyl,7 Speed Automatic with auto-shift,FWD,British Racing Green IV,Black,null,2,Premium Unleaded,8.9L/100km,6.6L/100km,30480
2014,MINI,Cooper,105026 km,Wagon,Premium Unleaded I-4 1.6 L/98,Automatic,FWD,True Blue Metallic,null,5,4,Gas,7.4L/100km,5.7L/100km,13988
2019,MINI,5,44284 km,Sedan,Intercooled Turbo Premium Unleaded I-3 1.5 L/91,Automatic,FWD,Chili Red,Black,5,4,Gas,8.5L/100km,6.3L/100km,24879
2019,MINI,Cooper,36943 km,Hatchback,2.0L TWIN TURBO,Automatic,FWD,White Silver Metallic,Black,null,4,Gas,10.2L/100km,7.4L/100km,29998
2022,MINI,Cooper,29331 km,Hatchback,3 Cylinder Engine 1.5L,Automatic,FWD,British Racing Green IV Metallic,null,null,2,Gas,8.8L/100km,6.4L/100km,30999
2019,MINI,Countryman,36250 km,null,Intercooled Turbo Gas/Electric I-3 1.5 L/91,Automatic,AWD,Moonwalk Grey Semi-Metallic,null,5,4,Gasoline Hybrid,8.4L/100km,8.8L/100km,39250
2015,MINI,Cooper,140300 km,Coupe,1.5,Automatic,FWD,Midnight Black Metallic,Black,4,2,Gas,8.1L/100km,5.9L/100km,15998
2007,MINI,Cooper,149000 km,Coupe,null,Automatic,FWD,Yellow,null,null,2 doors,Gasoline,null,null,5199
2019,MINI,3,45043 km,Hatchback,3 Cylinder Engine,null,FWD,White,Black,4,2,Gas,8.5L/100km,6.2L/100km,20999
2011,MINI,Cooper,158115 km,Convertible,4 Cylinder Engine,Manual,FWD,White,Black,5,null,Gas,6.8L/100km,5.3L/100km,6888
2008,MINI,COOPER,127131 km,Hatchback,4 Cylinder Engine,null,FWD,null,null,null,null,Gas,7.7L/100km,5.7L/100km,6995
2013,MINI,Cooper,177925 km,Hatchback,4 Cylinder Engine,6 Speed Automatic,FWD,Dark Green,Black,4,2,Gas,6.8L/100km,5.3L/100km,9888
2016,MINI,Cooper,140654 km,Hatchback,3 Cylinder Engine,Manual,FWD,Blaze Red II Semi-Metallic,Black,4,null,Gas,8.4L/100km,6.0L/100km,12950
