Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2017,Maserati,Levante,63319 km,SUV,6 Cylinder,Automatic,AWD,Grigio Metallic,null,null,4,Gas,16.8L/100km,12.4L/100km,59800
2013,Maserati,GranTurismo,69630 km,Coupe,8 Cylinder,Automatic,RWD,Nero,null,null,2,Gas,null,null,61800
2018,Maserati,Levante,40813 km,SUV,6 Cylinder,Automatic,AWD,Grigio Maratea Metallescent,null,null,4,Gas,16.8L/100km,11.8L/100km,64800
2018,Maserati,Levante,26316 km,SUV,6 Cylinder,Automatic,AWD,Blu Passione Mica,null,null,4,Gas,16.8L/100km,12.4L/100km,73800
2019,Maserati,Levante,68767 km,SUV,6 Cylinder,Automatic,AWD,Blu Emozione Mica,null,null,4,Gas,15.7L/100km,11.2L/100km,75800
2017,Maserati,Ghibli,81620 km,Sedan,V6 Cylinder Engine,8 Speed Automatic,AWD,Grey,Black,5,4,Gas,14.7L/100km,9.8L/100km,42995
2018,Maserati,Levante,32181 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Blue,Brown,5,4,Gas,16.8L/100km,11.8L/100km,61898
2016,Maserati,GranTurismo,49000 km,Coupe,8 Cylinder Engine,6 Speed Automatic,RWD,Black,Black,4,2,Gas,18.1L/100km,11.2L/100km,78950
2014,Maserati,Ghibli,145015 km,Sedan,V6 Cylinder Engine,8 Speed Automatic,AWD,Black,Red,5,4,Gas,null,null,29888
2014,Maserati,Ghibli,110000 km,Sedan,3.0L V6 Cylinder Engine,Automatic,AWD,Blue,White,null,4,Gas,15.7L/100km,9.4L/100km,29950
2014,Maserati,Ghibli,118000 km,Sedan,3.0L V6 Cylinder Engine,Automatic,AWD,Bianco,Tan,5,4,Gas,null,null,31450
2015,Maserati,Ghibli,91100 km,Sedan,V6 Cylinder Engine,8 Speed Automatic,AWD,Black,Red,5,4,Gas,15.7L/100km,9.4L/100km,37777
2016,Maserati,Quattroporte,110854 km,Sedan,V6 Cylinder Engine,8 Speed Automatic,AWD,Bianco,Red,4,4,Gas,14.7L/100km,10.2L/100km,38800
2019,Maserati,Ghibli,63882 km,Sedan,V6 Cylinder Engine,8 Speed Automatic,AWD,Bianco,null,5,4,Gas,14.7L/100km,9.8L/100km,63888
2017,Maserati,Ghibli,135088 km,Sedan,V6 Cylinder Engine,8 Speed Automatic,AWD,Bianco,Red,5,4,Gas,14.7L/100km,9.8L/100km,39888
2016,Maserati,Ghibli,97510 km,Sedan,V6 Cylinder Engine,Automatic,RWD,Black,Red,5,4,Gas,14.7L/100km,9.8L/100km,40895
2009,Maserati,GranTurismo,44000 km,Coupe,V8,Automatic,RWD,Dark Grey,Tan,4,2,Gas,19.6L/100km,12.4L/100km,44888
2017,Maserati,Levante,137000 km,SUV,3.0L V6 Cylinder Engine,Automatic,AWD,Bianco,Brown,5,4,Gas,16.8L/100km,11.8L/100km,47888
2009,Maserati,GranTurismo,41919 km,Coupe,V8,Automatic,RWD,Black,Black,4,2,Gas,19.6L/100km,12.4L/100km,53910
2011,Maserati,GranTurismo,79048 km,null,V8,Automatic,RWD,Black,Tan,4,2,Gas,null,null,55910
2011,Maserati,GRANTURISMO,79048 km,Convertible,4.7,Automatic,RWD,Black,Tan,4,2,Gas,19.6L/100km,11.8L/100km,55910
2017,Maserati,Levante,66000 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Dark Grey,Brown,5,4,Gas,16.8L/100km,12.4L/100km,56799
2017,Maserati,Levante,60000 km,SUV,3.0L,Automatic,AWD,Nero Ribelle Mica,Brown,5,4,Gas,16.8L/100km,11.8L/100km,56888
2018,Maserati,Levante,62272 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Blue,Black,5,4,Gas,16.8L/100km,11.8L/100km,57995
2017,Maserati,LAVANTE,34138 km,SUV,V6 Cylinder Engine,Automatic,AWD,Blue,White,null,null,Gas,16.8L/100km,12.4L/100km,57499
2017,Maserati,Levante,65000 km,SUV,3.0L,Automatic,AWD,Bianco,Brown,5,4,Gas,16.8L/100km,11.8L/100km,57888
2018,Maserati,Levante,99332 km,SUV,V6 Cylinder Engine,Automatic,AWD,Black,Black,5,4,Gas,16.8L/100km,12.4L/100km,57910
2018,Maserati,Levante,66000 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Black,Red,5,4,Gas,16.8L/100km,11.8L/100km,59800
2019,Maserati,Levante,95000 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Black,Tan,5,4,Gas,15.7L/100km,11.2L/100km,59800
2017,Maserati,Levante,63319 km,SUV,6 Cylinder,Automatic,AWD,Grigio Metallic,null,null,4,Gas,16.8L/100km,12.4L/100km,59800
2012,Maserati,GranTurismo,53077 km,Coupe,8 Cylinder Engine,6 Speed Automatic,RWD,Red,Black,4,2,Gas,18.1L/100km,11.2L/100km,59888
2017,Maserati,Levante,86160 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Bianco,Black,5,4,Gas,16.8L/100km,12.4L/100km,59888
2018,Maserati,Levante,75050 km,SUV,V6 Cylinder Engine,Automatic,AWD,Black,Black,5,4,Gas,16.8L/100km,11.8L/100km,59910
2018,Maserati,Levante,51011 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Blu Passione,null,5,4,Gas,16.8L/100km,12.4L/100km,65000
2017,Maserati,Levante,62817 km,SUV,V6 Cylinder Engine,Automatic,AWD,Bianco,Brown,5,4,Gas,16.8L/100km,12.4L/100km,59985
2013,Maserati,GranTurismo,69630 km,Coupe,8 Cylinder,Automatic,RWD,Nero,null,null,2,Gas,null,null,61800
2018,Maserati,Levante,73854 km,SUV,6 Cylinder,Automatic,AWD,White,Black,null,4,Gas,16.8L/100km,12.4L/100km,63800
2018,Maserati,Levante,40813 km,SUV,6 Cylinder,Automatic,AWD,Grigio Maratea Metallescent,null,null,4,Gas,16.8L/100km,11.8L/100km,64800
2018,Maserati,Levante,65284 km,SUV,6 Cylinder,Automatic,AWD,Nero,null,null,4,Gas,16.8L/100km,12.4L/100km,64800
2017,Maserati,Ghibli,25865 km,Sedan,3.0L 6cyl,8 Speed Automatic,AWD,Black,Black,5,2,Premium Unleaded,14.7L/100km,9.8L/100km,65888
2018,Maserati,Ghibli,46852 km,Sedan,3.0L 6cyl,8 Speed Automatic,AWD,Blue,Tan,5,2,Premium Unleaded,14.7L/100km,9.8L/100km,67888
2018,Maserati,Ghibli,18596 km,Sedan,3.0L 6cyl,8 Speed Automatic,AWD,Grey,null,null,2,Premium Unleaded,14.7L/100km,9.8L/100km,68888
2018,Maserati,Levante,67561 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,5,4,Gas,16.8L/100km,12.4L/100km,68888
2018,Maserati,Levante,14378 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,null,null,5,4,Gas,16.8L/100km,12.4L/100km,74800
2018,Maserati,Quattroporte,27567 km,Sedan,V6 Cylinder Engine,Automatic,AWD,Black,Black,5,4,Gas,14.7L/100km,10.2L/100km,68910
2013,Maserati,GranTurismo,82977 km,Coupe,8 Cylinder Engine,Automatic,RWD,Black,Black,4,2,Gas,18.1L/100km,11.2L/100km,69910
2018,Maserati,Levante,26316 km,SUV,6 Cylinder,Automatic,AWD,Blu Passione Mica,null,null,4,Gas,16.8L/100km,12.4L/100km,73800
2018,Maserati,Levante,14378 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,null,null,5,4,Gas,16.8L/100km,12.4L/100km,74800
2018,Maserati,Levante,26521 km,SUV,3.0L 6cyl,8 Speed Automatic,AWD,Blue,Tan,5,2,Premium Unleaded,16.8L/100km,11.8L/100km,74888
2019,Maserati,Levante,68767 km,SUV,6 Cylinder,Automatic,AWD,Blu Emozione Mica,null,null,4,Gas,15.7L/100km,11.2L/100km,75800
2018,Maserati,Levante,46352 km,SUV,3.0L 6cyl,8 Speed Automatic,AWD,Bianco,Black,5,2,Premium Unleaded,16.8L/100km,11.8L/100km,75888
2018,Maserati,Levante,32563 km,SUV,3.0L 6cyl,8 Speed Automatic,AWD,Bianco,Red,5,2,Premium Unleaded,16.8L/100km,11.8L/100km,76888
2018,Maserati,Levante,27524 km,SUV,3.0L 6cyl,8 Speed Automatic,AWD,Dark Green,Brown,5,2,Premium Unleaded,16.8L/100km,12.4L/100km,76888
2020,Maserati,Levante,57880 km,SUV,8 Cylinder,Automatic,AWD,Blu Emozione Mica,White,null,4,Gas,null,null,99800
2019,Maserati,Ghibli,29658 km,Sedan,3.0L 6cyl,8 Speed Automatic,AWD,Blue,null,null,2,Premium Unleaded,14.7L/100km,9.8L/100km,77888
2019,Maserati,Ghibli,46854 km,Sedan,3.0L 6cyl,8 Speed Automatic,AWD,Black,Black,5,2,Premium Unleaded,14.7L/100km,9.8L/100km,77888
2019,Maserati,Ghibli,23754 km,Sedan,3.0L 6cyl,8 Speed Automatic,AWD,Black,null,null,2,Premium Unleaded,14.7L/100km,9.8L/100km,79888
2018,Maserati,Levante,38965 km,SUV,3.0L 6cyl,8 Speed Automatic,AWD,Bianco,Tan,5,2,Premium Unleaded,16.8L/100km,12.4L/100km,81888
