Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2018,Mazda,Mazda3,35455 km,Hatchback,4 Cylinder Engine 2.0L,Automatic,FWD,Blue,null,null,4,Gas,8.4L - 8.6L/100km,6.4L/100km,21999
2021,Mazda,CX-30,25458 km,SUV,4 Cylinder Engine,6 Speed Automatic,FWD,Jet Black Mica,Black,null,null,Gas,9.3L/100km,7.1L/100km,29998
2021,Mazda,Mazda3,24591 km,Hatchback,2.5L 4cyl,6 Speed Automatic,AWD,Snowflake White Pearl,Red,5,4,Gas,10.1L/100km,7.5L/100km,36099
2020,Mazda,CX-9,43227 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,Jet Black Mica,Black,null,null,Gas,11.6L/100km,9.1L/100km,40998
2021,Mazda,CX-30,37792 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,Snowflake White Pearl,Black,null,null,Gas,9.9L/100km,7.7L/100km,33998
2023,Mazda,CX-5,5802 km,SUV,2.5L TURBO 4cyl.,Automatic,AWD,Jet Black Mica,Black,null,5,Gas,10.8L/100km,8.7L/100km,45473
2023,Mazda,CX-9,6583 km,SUV,2.5L TURBO 4cyl.,Automatic,AWD,Grey,null,null,5,Gas,11.6L/100km,9.1L/100km,55028
2018,Mazda,Mazda3,142597 km,Hatchback,2.0L 4cyl,6 Speed Automatic,FWD,Blue,Black,5,4,Gas,8.4L - 8.6L/100km,6.4L/100km,15888
2020,Mazda,CX-5,64109 km,SUV,4 Cylinder Engine,Automatic,AWD,Blue,Black,5,4,Gas,9.8L/100km,7.9L/100km,28990
2012,Mazda,Mazda3,348000 km,Hatchback,4 Cylinder Engine,Automatic,FWD,null,null,5,4,Gas,8.1L - 8.7L/100km,5.9L - 6.0L/100km,3990
2012,Mazda,Mazda3,315000 km,Hatchback,4 Cylinder Engine,Manual,FWD,null,null,5,4,Gas,7.1L - 7.7L/100km,4.9L - 5.0L/100km,3990
2010,Mazda,Mazda3,250000 km,Hatchback,4 Cylinder Engine,Manual,FWD,null,null,5,4,Gas,9.2L - 10.1L/100km,6.8L - 6.9L/100km,3990
2010,Mazda,Mazda3,246000 km,Sedan,4 Cylinder Engine,Automatic,FWD,null,null,5,4,Gas,8.1L - 8.7L/100km,5.9L - 6.0L/100km,4490
