Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2023,Mitsubishi,RVR,89 km,SUV,4 Cylinder Engine 2.4L,Automatic,4x4,Red Diamond,Black,null,4,Gas,10.3L/100km,8.3L/100km,34287
2023,Mitsubishi,Eclipse,89 km,SUV,4 Cylinder Engine 1.5L,Automatic,4x4,Red Diamond,Black,null,4,Gas,9.6L/100km,8.9L/100km,37787
2023,Mitsubishi,RVR,89 km,SUV,2L 4cyl.,Automatic,FWD,Red Diamond,Black,null,5,Gas,9.7L/100km,7.8L/100km,27080
2020,Mitsubishi,Eclipse,24421 km,SUV,4 Cylinder Engine 1.5L,CVT,4x4,null,null,null,4,Gas,9.6L/100km,8.9L/100km,29998
2022,Mitsubishi,Outlander,13526 km,SUV,4 Cylinder Engine 2.5L,CVT,4x4,null,null,null,4,Gas,9.7L/100km,7.9L/100km,40998
2023,Mitsubishi,Outlander,6658 km,SUV,2.4L 4cyl.,Automatic,AWD,Sterling Silver,Black,null,5,Gasoline Hybrid,9.2L/100km,8.7L/100km,56575
2013,Mitsubishi,RVR,169233 km,null,null,Automatic,AWD,Grey,null,null,4 doors,Gasoline,null,null,11400
2017,Mitsubishi,Mirage,152698 km,Hatchback,1.2L 3cyl,CVT,FWD,Pearl White,Black,5,4,Gas,6.4L - 7.1L/100km,5.5L - 5.8L/100km,10888
2019,Mitsubishi,Outlander,115436 km,SUV,4 Cylinder Engine,Automatic,4WD,Labrador Black Pearl,Black,null,null,Gas,9.9L/100km,8.1L/100km,21995
2020,Mitsubishi,Eclipse,82031 km,SUV,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,CVT,4x4,Octane Blue Pearl,Black,5,4,Gas,9.6L/100km,8.9L/100km,24298
