Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
1974,Pontiac,Firebird,1000 km,Coupe,null,Automatic,RWD,Red,null,null,2 doors,Gasoline,null,null,31000
2008,Pontiac,Montana,241083 km,Minivan,3.9,4 Speed Automatic,FWD,Silver,Grey,7,4,Other,13.1L/100km,8.5L/100km,4980
2006,Pontiac,Solstice,71275 km,Convertible,4 Cylinder Engine,5 Speed Manual,RWD,Black,Tan,2,2,Gas,11.9L/100km,7.6L/100km,16888
2008,Pontiac,Montana,152000 km,Minivan,3.9,Automatic,FWD,Silver,Light Grey,7,4,Gas,13.1L/100km,8.5L/100km,6998
2007,Pontiac,Solstice,106611 km,Coupe,4 Cylinder Engine,Automatic,RWD,Black,Black,2,2,Gas,10.8L - 11.9L/100km,7.6L - 8.3L/100km,16888
1974,Pontiac,Firebird,1000 km,Coupe,null,Automatic,RWD,Red,null,null,2 doors,Gasoline,null,null,31000
2007,Pontiac,Montana,134000 km,Minivan,V6 Cylinder Engine,4 Speed Automatic,FWD,Beige,Beige,5,4,Gas,13.1L/100km,8.5L/100km,3500
2006,Pontiac,Torrent,197990 km,SUV,3L NA V6 OVERHEAD VALVES (OHV),Automatic,FWD,Black,Black,null,4,Gas,12.6L/100km,8.5L/100km,4990
2006,Pontiac,Vibe,193497 km,Wagon,4 Cylinder Engine,4 Speed Automatic,AWD,Neptune (Dark Blue Metallic),Dark Grey,5,4,Gas,9.2L/100km,6.9L/100km,6888
2009,Pontiac,Torrent,226989 km,SUV,V6 Cylinder Engine,5 Speed Automatic,FWD,Black,Black,5,4,Gas,12.2L/100km,8.3L/100km,6999
1998,Pontiac,Firebird,177200 km,Hatchback,3.8,Automatic,RWD,Gray,Black,null,2,Gas,null,null,9999
2006,Pontiac,Solstice,116000 km,Coupe,4 Cylinder Engine,Manual,RWD,Gray,Beige,2,2,Gas,11.9L/100km,7.6L/100km,15900
2006,Pontiac,Vibe,25 km,null,null,Automatic,AWD,Blue,null,null,4 doors,Gasoline,null,null,3999
2009,Pontiac,Torrent,236000 km,null,null,Automatic,FWD,Black,null,null,4 doors,Gasoline,null,null,4000
2007,Pontiac,G5,245000 km,Sedan,null,Automatic,FWD,Grey,null,null,4 doors,Gasoline,null,null,4000
2007,Pontiac,Torrent,202000 km,null,null,Automatic,FWD,Grey,null,null,4 doors,Gasoline,null,null,4499
2008,Pontiac,Montana,70000 km,Minivan,null,Automatic,FWD,Red,null,null,4 doors,Gasoline,null,null,5000
2010,Pontiac,Vibe,275000 km,Station Wagon,2.4L,Automatic,AWD,Blue,Black,5,4,Gas,10.3L/100km,7.8L/100km,5995
1983,Pontiac,Trans,0 km,Hatchback,null,Automatic,FWD,Black,null,null,2 doors,Gasoline,null,null,6000
2006,Pontiac,Vibe,197942 km,Hatchback,4 Cyl - 1.8 Lit.,Automatic,FWD,White,Dark Grey,5,4,Gas,7.9L - 8.2L/100km,5.9L - 6.3L/100km,6495
2009,Pontiac,G6,215000 km,null,null,null,null,null,null,null,null,null,null,null,6500
2005,Pontiac,Sunfire,106000 km,Sedan,null,Automatic,FWD,White,null,null,4 doors,Gasoline,null,null,7000
2008,Pontiac,Vibe,143506 km,Hatchback,1.8,Automatic,FWD,Black,Charcoal,5,4,Gas,7.9L - 8.2L/100km,5.9L - 6.3L/100km,7950
2009,Pontiac,Vibe,158800 km,Hatchback,null,Automatic,FWD,Grey,null,null,4 doors,Gasoline,null,null,8500
2007,Pontiac,WAVE,118000 km,Hatchback,null,Automatic,FWD,Silver,null,null,5 doors,Gasoline,null,null,8500
1975,Pontiac,Ventura,70000 km,Coupe,null,Manual,RWD,Red,null,null,2 doors,Gasoline,null,null,8500
2009,Pontiac,Vibe,159850 km,Hatchback,4 Cylinder Engine,Manual,FWD,Jet Black Metallic,null,5,4,Gas,9.6L/100km,7.2L/100km,8995
2006,Pontiac,Pursuit,37916 km,Sedan,null,Automatic,FWD,Grey,null,null,4 doors,Gasoline,null,null,10000
1968,Pontiac,Grand,24900 km,Coupe,null,Automatic,RWD,Gold,null,null,2 doors,Gasoline,null,null,54900
