Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2018,Porsche,Macan,51700 km,SUV,6 Cylinder,Automatic,AWD,White,Red,null,4,Gas,13.8L/100km,10.3L/100km,62800
2018,Porsche,Macan,81853 km,SUV,4 Cylinder,Automatic,AWD,Black,Black,null,4,Gas,11.6L/100km,9.3L/100km,42800
2021,Porsche,Panamera,29697 km,Sedan,V6 Cylinder Engine,8 Speed Automatic,AWD,Jet Black Metallic,null,null,null,Gas,12.8L/100km,9.8L/100km,139500
2017,Porsche,911,29249 km,Coupe,3.0L 6cyl,7 Speed Automatic,AWD,Agate Grey Metallic,Red,4,2,Premium Unleaded,12.2L/100km,8.5L/100km,154599
2019,Porsche,911,38495 km,Coupe,Flat 6 Cylinder Engine,Automatic,null,Jet Black Metallic,null,null,null,Gas,null,null,159000
2009,Porsche,911,121770 km,Coupe,null,Manual,4X4,Black,null,null,2 doors,Gasoline,null,null,74000
2019,Porsche,Panamera,39000 km,Hatchback,null,Automatic,AWD,Not Specified,null,null,4 doors,Gasoline,null,null,141999
2017,Porsche,Macan,87095 km,SUV,V6 Cylinder Engine,7 Speed Automatic,AWD,null,null,5,4,Gas,13.7L/100km,10.3L/100km,40999
2018,Porsche,Cayenne,100733 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Mahogany Metallic,Beige,5,4,Gas,12.9L - 13.6L/100km,9.7L - 10.2L/100km,49898
2013,Porsche,Cayenne,178000 km,SUV,6 Cylinder,Automatic,AWD,Black,Black,5,5,Gas,12.9L - 14.1L/100km,8.6L - 9.3L/100km,22999
2010,Porsche,Panamera,170000 km,Sedan,8 Cylinder,Automatic,AWD,Black,Beige,4,4,Gas,null,null,24995
2014,Porsche,Cayenne,162684 km,SUV,V6 Cylinder Engine 3.6L,Automatic,AWD,Classic Silver Metallic,Black,null,4,Gas,12.1L - 14.1L/100km,8.4L - 9.3L/100km,25495
2013,Porsche,Cayenne,138000 km,SUV,6 Cylinder,Automatic,AWD,White,Beige,5,4,Gas,12.9L - 14.1L/100km,8.6L - 9.3L/100km,25995
2020,Porsche,Cayenne,41502 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,null,null,5,4,Gas,12.5L/100km,10.0L/100km,66999
2017,Porsche,Macan,184276 km,SUV,4 Cylinder Engine,Automatic,AWD,Palladium Metallic,Brown,5,4,Gas,11.6L/100km,9.3L/100km,29888
2016,Porsche,Macan,175920 km,SUV,6 Cylinder,7 Speed Automatic,AWD,Black,Black,null,4,Gas,13.7L/100km,10.3L/100km,30800
2017,Porsche,Macan,132760 km,SUV,4 Cylinder Engine,Automatic,AWD,Palladium Metallic,Brown,5,null,Gas,11.6L/100km,9.3L/100km,33880
2007,Porsche,Cayman,172461 km,Coupe,3.4,6 Speed Manual,RWD,Black,Black,null,2,Gas,11.8L/100km,7.7L/100km,33950
2017,Porsche,Macan,102003 km,SUV,4 Cylinder Engine,7 Speed Automatic,AWD,Blue,Dark Grey,5,4,Gas,11.6L/100km,9.3L/100km,33999
2015,Porsche,Macan,122000 km,SUV,3.0L Twin Turbo V6 Engine,Automatic,AWD,White,Black,5,4,Gas,null,null,34888
2015,Porsche,Macan,74000 km,SUV,3.0,Automatic,AWD,Palladium Metallic,Black,5,4,Gas,13.7L/100km,10.3L/100km,34990
2014,Porsche,Panamera,139000 km,Hatchback,6 Cylinder,Automatic,AWD,Burgundy,Beige,4,4,Gas,11.6L - 11.8L/100km,7.4L - 7.6L/100km,34995
2016,Porsche,Cayenne,149913 km,SUV,3.6L,Automatic,AWD,Moonlight Blue Metallic,Beige,5,4,Gas,12.9L/100km,9.7L/100km,35995
2021,Porsche,Taycan,10800 km,Sedan,Electric Motor,null,null,Chalk,null,null,null,Electric,null,null,189995
2015,Porsche,Macan,89000 km,SUV,V6 Cylinder Engine,7 Speed Automatic,AWD,Black,Black,5,4,Gas,13.7L/100km,10.3L/100km,37800
2014,Porsche,Cayenne,91561 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Meteor Grey Metallic,Black,5,4,Gas,12.1L - 14.1L/100km,8.4L - 9.3L/100km,38500
2016,Porsche,Cayenne,148000 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,White,Red,5,4,Gas,12.9L/100km,9.7L/100km,38800
2014,Porsche,Cayenne,56127 km,SUV,6 Cylinder,Sequential,AWD,White,Tan,5,4,Gas,12.1L - 14.1L/100km,8.4L - 9.3L/100km,38800
2017,Porsche,Macan,148000 km,SUV,6 Cylinder,Automatic,AWD,Black,Black,5,4,Gas,13.7L/100km,10.3L/100km,38885
2016,Porsche,Cayenne,99406 km,SUV,3.6L 6cyl,8 Speed Automatic,AWD,Black,Tan,5,4,Premium Unleaded,12.9L/100km,9.7L/100km,38888
2016,Porsche,Macan,163800 km,SUV,3.6,Automatic,AWD,Black,Red,5,4,Gas,14.2L/100km,10.1L/100km,39888
2007,Porsche,Boxster,39837 km,Convertible,Flat 6 Cylinder Engine,Manual,RWD,White,Blue,null,2,Gas,11.8L/100km,7.7L/100km,39888
2015,Porsche,Macan,109995 km,SUV,V6 Cylinder Engine,7 Speed Automatic,AWD,White,Black,5,4,Gas,null,null,39888
2016,Porsche,Panamera,102501 km,Sedan,8 Cylinder Engine 4.8L,Automatic,AWD,White,Black,4,4,Gas,15.1L/100km,9.7L/100km,65900
2017,Porsche,Macan,103000 km,SUV,3.0L V6 Cylinder Engine,Automatic,AWD,Rhodium Silver Metallic,Black,5,4,Gas,13.7L/100km,10.3L/100km,39950
2017,Porsche,Cayenne,132243 km,SUV,6 Cylinder,Sequential,AWD,White,Black,null,4,Gas,12.9L - 13.6L/100km,9.7L - 10.2L/100km,40800
2018,Porsche,Macan,93403 km,SUV,2.0,Automatic,AWD,Black,Black,5,4,Gas,11.6L/100km,9.3L/100km,40888
2017,Porsche,Macan,133000 km,SUV,3.0L,Automatic,AWD,Carrara White Metallic,null,5,4,Gas,13.7L/100km,10.3L/100km,41888
2016,Porsche,Macan,46857 km,SUV,V6 Cylinder Engine,Automatic,AWD,Dark Blue Metallic,Black,5,4,Gas,13.7L/100km,10.3L/100km,41910
2016,Porsche,Cayenne,147991 km,SUV,V6 Cylinder Engine,Automatic,AWD,Black,Black,5,4,Gas,13.9L/100km,9.6L/100km,41910
2018,Porsche,Macan,81853 km,SUV,4 Cylinder,Automatic,AWD,Black,Black,null,4,Gas,11.6L/100km,9.3L/100km,42800
2017,Porsche,Macan,74216 km,SUV,V6 Cylinder Engine,7 Speed Automatic,AWD,Sapphire Blue Metallic,null,null,null,Gas,13.7L/100km,10.3L/100km,42900
2017,Porsche,Macan,72683 km,SUV,6 Cylinder,7 Speed Automatic,AWD,Black,Black,null,4,Gas,13.7L/100km,10.3L/100km,43800
2019,Porsche,911,7514 km,Coupe,Flat 6 Cylinder Engine,7 Speed Automatic,RWD,Black,Black,2,2,Gas,null,null,319999
2017,Porsche,Cayenne,117000 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,5,4,Gas,12.9L - 13.6L/100km,9.7L - 10.2L/100km,44880
2016,Porsche,Panamera,139000 km,Sedan,6 Cylinder,Automatic,AWD,Black,Black,4,4,Gas,12.9L - 13.1L/100km,8.4L - 8.7L/100km,44885
2016,Porsche,Cayenne,74000 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,5,4,Gas,12.9L/100km,9.7L/100km,45799
2017,Porsche,Cayenne,114900 km,SUV,V6 Cylinder Engine,Automatic,AWD,White,Tan,5,4,Gas,13.9L/100km,9.6L/100km,45876
2018,Porsche,Cayenne,107000 km,SUV,3.6L,Automatic,AWD,Jet Black Metallic,null,5,4,Gas,12.9L - 13.6L/100km,9.7L - 10.2L/100km,45888
2018,Porsche,Macan,52893 km,SUV,4 Cylinder,7 Speed Automatic,AWD,Black,Black,5,4,Gas,11.6L/100km,9.3L/100km,46800
2015,Porsche,Macan,97635 km,SUV,6 Cylinder,7 Speed Automatic,AWD,White,Red,null,4,Gas,14.2L/100km,10.1L/100km,46800
2016,Porsche,Macan,54900 km,SUV,V6 Cylinder Engine,Automatic,AWD,Jet Black Metallic,Black,5,4,Gas,13.7L/100km,10.3L/100km,46999
2018,Porsche,Macan,46616 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Grey,Black,null,4,Gas,11.6L/100km,9.3L/100km,47673
2022,Porsche,Cayenne,9390 km,SUV,8 Cylinder Engine 4.0L,Automatic,AWD,White,Red,null,4,Gas,15.2L/100km,12.4L/100km,159990
2018,Porsche,Macan,62806 km,SUV,Twin Turbo Premium Unleaded V-6 3.0 L/183,Automatic,AWD,Blue,Black,5,4,Gas,13.7L/100km,10.3L/100km,47998
2015,Porsche,Macan,79000 km,SUV,V6 Cylinder Engine,7 Speed Automatic,AWD,Black,Red,5,4,Gas,14.2L/100km,10.1L/100km,48800
2011,Porsche,Boxster,39000 km,Convertible,Flat 6 Cylinder Engine,6 Speed Manual,RWD,Red,Black,2,2,Gas,7.4L/100km,7.4L/100km,49800
2018,Porsche,Macan,107000 km,SUV,V6 Cylinder Engine,7 Speed Automatic,AWD,Dark Grey,Black,5,4,Gas,13.8L/100km,10.3L/100km,49800
2016,Porsche,Cayenne,124000 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,5,4,Electric,11.3L/100km,9.8L/100km,49800
2017,Porsche,Cayenne,72367 km,SUV,6 Cylinder,Sequential,AWD,Black,Black,null,4,Gas,12.9L - 13.6L/100km,9.7L - 10.2L/100km,49800
2018,Porsche,Macan,79217 km,SUV,4 Cylinder Engine,7 Speed Automatic,AWD,Black,Black,5,4,Gas,11.6L/100km,9.3L/100km,49888
2018,Porsche,Macan,33383 km,SUV,4 Cylinder Engine,7 Speed Automatic,AWD,Jet Black Metallic,null,null,null,Gas,11.6L/100km,9.3L/100km,49900
2013,Porsche,Panamera,119672 km,Sedan,8 Cylinder Engine,Automatic,RWD,Red,Black,4,4,Gas,13.3L/100km,8.5L/100km,49910
2019,Porsche,Cayenne,46538 km,SUV,2.9L V6 DOHC 24V,Automatic,4x4,Black,Red,null,4,Gas,12.5L/100km,10.0L/100km,78995
2017,Porsche,Macan,123578 km,SUV,V6 Cylinder Engine,Automatic,AWD,Black,Black,5,4,Gas,13.8L/100km,10.3L/100km,49910
2018,Porsche,Cayenne,88603 km,SUV,V-6 cyl,8 Speed Automatic,AWD,White,null,null,null,Premium Unleaded,12.9L - 13.6L/100km,9.7L - 10.2L/100km,50997
2017,Porsche,Cayenne,92000 km,SUV,3.6,8 Speed Automatic,AWD,White,Grey,null,4,Gas,12.9L - 13.6L/100km,9.7L - 10.2L/100km,51200
2017,Porsche,Macan,101300 km,SUV,6 Cylinder,7 Speed Automatic,AWD,White,Red,null,4,Gas,null,null,53800
2017,Porsche,Cayenne,79674 km,SUV,V6 Cylinder Engine,Automatic,AWD,Black,Black,5,4,Gas,13.9L/100km,9.6L/100km,53910
2016,Porsche,Cayenne,142758 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,White,Black,5,4,Gas,null,null,54888
2017,Porsche,Macan,71184 km,SUV,6 Cylinder,7 Speed Automatic,AWD,Black,Black,null,4,Gas,13.8L/100km,10.3L/100km,56800
2016,Porsche,Panamera,81458 km,Sedan,V6 Cylinder Engine,Automatic,null,Black,Beige,null,null,Gas,12.9L - 13.1L/100km,8.4L - 8.7L/100km,56910
2017,Porsche,Macan,80823 km,SUV,6 Cylinder,7 Speed Automatic,AWD,White,Red,null,4,Gas,null,null,57800
2010,Porsche,911,49236 km,Coupe,Flat 6 Cylinder Engine,7 Speed Automatic,AWD,Basalt Black Metallic,null,4,2,Gas,11.6L/100km,7.9L - 8.0L/100km,104900
2017,Porsche,Macan,87458 km,SUV,6 Cylinder,Automatic,AWD,White,Black,null,4,Gas,null,null,57800
2017,Porsche,Macan,55751 km,SUV,V6 Cylinder Engine,Automatic,AWD,Rhodium Silver Metallic,Black,5,4,Gas,13.8L/100km,10.3L/100km,57910
2020,Porsche,Macan,49093 km,SUV,4 Cylinder Engine,Automatic,AWD,Black,null,null,null,Gas,12.2L/100km,10.2L/100km,58000
2018,Porsche,Macan,69847 km,SUV,V6 Cylinder Engine 3.0L,Automatic,AWD,Blue,Black,null,4,Gas,13.8L/100km,10.3L/100km,58295
2018,Porsche,Macan,78687 km,SUV,6 Cylinder,7 Speed Automatic,AWD,Carmine Red Metallic,Black,null,4,Gas,13.8L/100km,10.3L/100km,58800
2018,Porsche,Macan,81500 km,SUV,V6 Cylinder Engine,7 Speed Automatic,AWD,White,Black,5,4,Gas,13.8L/100km,10.3L/100km,59800
2020,Porsche,Macan,33000 km,SUV,4 Cylinder Engine,7 Speed Automatic,AWD,Black,Black,5,4,Gas,12.2L/100km,10.2L/100km,59800
2018,Porsche,Cayenne,97088 km,SUV,6 Cylinder,Automatic,AWD,Black,Black,null,4,Gasoline Hybrid,11.3L/100km,9.8L/100km,59800
2016,Porsche,Cayenne,77459 km,SUV,6 Cylinder,Sequential,AWD,White,Black,null,4,Gas,14.5L/100km,10.4L/100km,59800
2021,Porsche,Macan,16904 km,SUV,4 Cylinder Engine,7 Speed Automatic,AWD,Volcano Grey Metallic,null,5,4,Gas,12.2L/100km,10.2L/100km,72800
2016,Porsche,Panamera,64494 km,Sedan,6 Cylinder,Automatic,AWD,White,Tan,null,4,Gas,12.9L - 13.1L/100km,8.4L - 8.7L/100km,59800
2015,Porsche,Boxster,59000 km,Convertible,2.7,Automatic,RWD,White,White,2,2,Gas,null,null,59880
2009,Porsche,911,130592 km,Convertible,Flat 6 Cylinder Engine,Manual,RWD,Black,Black,4,2,Gas,17.0L/100km,25.0L/100km,59888
2018,Porsche,Cayenne,109863 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Purpurit Metallic,Black,5,4,Electric,11.3L/100km,9.8L/100km,59888
2017,Porsche,Cayenne,63142 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Rhodium Silver Metallic,Brown,5,4,Gasoline Hybrid,null,null,59888
2019,Porsche,Macan,71285 km,SUV,V6 Cylinder Engine,7 Speed Automatic,AWD,Jet Black Metallic,null,null,null,Gas,null,null,59900
2017,Porsche,Macan,38097 km,SUV,V6 Cylinder Engine,Automatic,AWD,Dark Grey,Black,5,4,Gas,13.8L/100km,10.3L/100km,59910
2018,Porsche,Macan,59566 km,SUV,V6 Cylinder Engine,7 Speed Automatic,AWD,null,null,5,4,Gas,13.7L/100km,10.3L/100km,59950
2016,Porsche,Panamera,77923 km,Hatchback,V6 Cylinder Engine,7 Speed Automatic,AWD,Carrara White Metallic,Black,4,4,Gas,13.1L/100km,8.4L - 8.7L/100km,59990
2019,Porsche,911,2676 km,Coupe,Flat 6 Cylinder Engine,7 Speed Automatic,RWD,null,null,2,2,Gas,16.1L/100km,12.2L/100km,318800
2019,Porsche,Macan,61722 km,SUV,V6 Cylinder Engine,7 Speed Automatic,AWD,Jet Black Metallic,null,null,null,Gas,null,null,60900
2017,Porsche,Cayenne,33200 km,SUV,3.6,Automatic,AWD,White,Black,null,4,Gas,13.9L/100km,9.6L/100km,61499
2018,Porsche,Cayenne,97558 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,BLACK,Black,5,4,Electric,11.3L/100km,9.8L/100km,61500
2018,Porsche,Macan,55000 km,SUV,V6 Cylinder Engine,Automatic,AWD,White,null,null,null,Gas,13.8L/100km,10.3L/100km,61895
2018,Porsche,Macan,49182 km,SUV,V6 Cylinder Engine,7 Speed Automatic,AWD,Carmine Red,Black,5,4,Gas,13.7L/100km,10.3L/100km,61950
