Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2018,Tesla,Model,106870 km,Sedan,Electric ZEV 271hp,1 Speed Automatic,RWD,Gray,null,null,null,Electric,null,null,43988
2020,Tesla,Model,86603 km,Sedan,Dual Electric Motor,1 Speed Automatic,null,Dark Grey,Black,null,null,Electric,null,null,52395
2019,Tesla,Model,52800 km,Sedan,Electric Motor,1 Speed Automatic,AWD,Red Multi-Coat,Black,5,4,Electric,null,null,69777
2020,Tesla,Model,79000 km,Sedan,null,Automatic,AWD,White,null,null,4 doors,Electric,null,null,60000
2018,Tesla,Model,46000 km,Sedan,null,null,AWD,Black,null,null,4 doors,Electric,null,null,89000
2021,Tesla,Model,7250 km,Sedan,null,Automatic,AWD,Blue,null,null,5 doors,Electric,null,null,160000
2022,Tesla,Model,100 km,null,null,null,AWD,White,null,null,5 doors,Electric,null,null,164250
2021,Tesla,Model,24534 km,Sedan,Electric Motor,Automatic,null,Grey,White,null,null,Electric,null,null,51995
2022,Tesla,Model,3732 km,Sedan,Electric Motor,Automatic,null,Pearl White Multi-Coat,Black,null,null,Electric,null,null,54995
2019,Tesla,Model,70160 km,Sedan,Electric Motor,Automatic,RWD,Solid Black,Black,null,4,Electric,null,null,40989
2019,Tesla,Model,53575 km,Sedan,Electric Motor,Automatic,RWD,Red Multi-Coat,Black,5,null,Electric,null,null,42998
2019,Tesla,Model,107082 km,Sedan,Electric Motor,1 Speed Automatic,RWD,Midnight Silver Metallic,null,null,null,Electric,null,null,43595
2018,Tesla,Model,106870 km,Sedan,Electric ZEV 271hp,1 Speed Automatic,RWD,Gray,null,null,null,Electric,null,null,43988
2022,Tesla,Model,null,null,null,null,null,White,Black,5,4,Electric,null,null,64990
2019,Tesla,Model,61033 km,Sedan,Electric,Automatic,RWD,Deep Blue Metallic,null,null,null,Electric,null,null,44495
2020,Tesla,Model,18079 km,Sedan,Electric Motor,Automatic,null,Pearl White Multi-Coat,Black,5,null,Electric,null,null,44998
2020,Tesla,Model,65790 km,Sedan,Electric Motor,Automatic,RWD,Pearl White Multi-Coat,null,null,4,Electric,null,null,46000
