Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2019,Toyota,C-HR,71259 km,SUV,: 2.0L I-4 DOHC 16-Valve VVT-i,CVT,FWD,Blue,null,null,null,Gas,8.7L/100km,7.5L/100km,25979
2018,Toyota,Highlander,76500 km,SUV,3.5,Automatic,AWD,Blizzard Pearl,Beige,null,4,Gas,12.0L/100km,8.9L/100km,40888
2020,Toyota,4Runner,60000 km,SUV,V-6 cyl,5 Speed Automatic,4x4,Super White,null,7,4,Regular Unleaded,14.8L/100km,12.5L/100km,50887
2017,Toyota,Corolla,64240 km,Sedan,1.8L 4cyl,CVT,FWD,Black Sand Pearl,Black,null,2,Gas,8.3L - 8.4L/100km,6.5L - 6.7L/100km,22533
2019,Toyota,Corolla,101393 km,Hatchback,4 Cylinder Engine,null,FWD,Smoked Paprika,Black,5,4,Gas,7.5L - 8.4L/100km,5.8L - 6.3L/100km,22595
2021,Toyota,RAV4,48000 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Super White,Black,5,4,Gas,8.7L/100km,6.9L/100km,35995
2018,Toyota,Corolla,53100 km,Sedan,1.8,Automatic,FWD,Alpine White,Black,null,4,Gas,8.3L - 8.5L/100km,6.6L - 6.7L/100km,24488
2016,Toyota,Camry,159000 km,Sedan,2.5,Automatic,FWD,Grey,Black,5,4,Gas,9.4L/100km,6.7L/100km,17500
2017,Toyota,Camry,93890 km,Sedan,4 Cylinder Engine,Automatic,FWD,Pre-Dawn Grey Mica,Black,5,4,Gas,9.8L/100km,7.1L/100km,21990
2009,Toyota,Venza,183050 km,SUV,3.5,6 Speed Automatic,FWD,Gray,Grey,null,4,Gas,11.0L/100km,7.6L/100km,10950
2014,Toyota,Venza,260849 km,SUV,3.5,6 Speed Automatic,AWD,Attitude Black Metallic,Black,null,4,Gas,11.4L/100km,7.9L/100km,13280
2009,Toyota,Tacoma,181016 km,Truck,4 Cylinder Engine 2.7L,null,RWD,Pyrite Mica,null,null,2,Gas,10.5L - 11.0L/100km,7.8L - 7.9L/100km,13995
2011,Toyota,Venza,127431 km,SUV,3.5L 6cyl,6 Speed Automatic,AWD,Barcelona Red Metallic,Black,5,4,Gas,11.5L/100km,7.9L/100km,15000
2016,Toyota,Highlander,123100 km,SUV,V6 Cylinder Engine,Automatic,AWD,Nautical Blue Metallic,Black,7,4,Gasoline Hybrid,8.6L/100km,8.4L/100km,34990
2007,Toyota,Tundra,274776 km,Regular Cab,8 Cylinder Engine,Automatic,4x4,Black,Grey,5,4,Gas,15.8L/100km,12.1L/100km,17888
2015,Toyota,Corolla,111791 km,Sedan,4 Cylinder Engine 1.8L,Automatic,FWD,Black Sand Pearl,Black,null,4,Gas,7.9L - 8.6L/100km,6.1L - 6.5L/100km,18299
2019,Toyota,C-HR,157233 km,Hatchback,4 Cylinder Engine,Automatic,FWD,White,Black,5,null,Gas,8.7L/100km,7.5L/100km,18450
2015,Toyota,RAV4,129722 km,SUV,2.5,6 Speed Automatic,FWD,Alpine White,Grey,null,4,Gas,10.0L/100km,7.6L/100km,19980
2017,Toyota,Camry,92441 km,Sedan,2.5L L4 DOHC 16V,Automatic,FWD,Pre-Dawn Grey Mica,Black,null,4,Gas,9.8L/100km,7.1L/100km,19998
2019,Toyota,Corolla,93000 km,Sedan,4 Cylinder Engine,CVT,FWD,Barcelona Red Metallic,Black,5,4,Gas,8.3L - 8.5L/100km,6.5L - 6.6L/100km,21450
2016,Toyota,Highlander,222485 km,SUV,V-6 cyl,6 Speed Automatic,AWD,Midnight Black Metallic,null,null,null,Gas,13.0L/100km,9.8L/100km,21498
2012,Toyota,Sienna,106337 km,Minivan,3.5L 6cyl,6 Speed Automatic,AWD,Silver Sky Metallic,Black,7,4,Gas,12.8L/100km,9.0L/100km,21799
2016,Toyota,RAV4,108234 km,SUV,4 Cylinder Engine,Automatic,AWD,Alpine White,Black,5,4,Gas,10.5L/100km,8.2L/100km,22890
2022,Toyota,Corolla,16538 km,Sedan,I-4 cyl,CVT,null,Grey,null,null,null,Gasoline Hybrid,4.4L/100km,4.5L/100km,38798
2018,Toyota,C-HR,118000 km,SUV,4 Cylinder Engine,CVT,FWD,Blizzard Pearl,Black,5,4,Gas,8.7L/100km,7.5L/100km,22950
2014,Toyota,Sienna,153000 km,Minivan,6 Cylinder,Automatic,FWD,Black,Black,8,4,Gas,11.4L/100km,7.9L/100km,22995
2015,Toyota,Sienna,152350 km,Minivan,V6 Cylinder Engine,Automatic,FWD,Shoreline Blue Pearl,Grey,null,null,Regular Unleaded,13.1L/100km,9.4L/100km,22995
2015,Toyota,RAV4,123225 km,SUV,I-4 cyl,Automatic,4WD,Barcelona Red Metallic,Black,null,null,Regular Unleaded,10.7L/100km,8.3L/100km,23200
2018,Toyota,RAV4,122905 km,SUV,4 Cylinder Engine 2.5L,Automatic,FWD,Alpine White,Black,null,4,Gas,10.0L/100km,7.8L/100km,23800
2020,Toyota,Corolla,70000 km,Sedan,4 Cylinder Engine,CVT,FWD,Classic Silver Metallic,Black,5,4,Gas,7.9L - 8.1L/100km,6.0L - 6.3L/100km,23950
2018,Toyota,C-HR,79000 km,SUV,4 Cylinder Engine,CVT,FWD,Red,null,5,4,Gas,8.7L/100km,7.5L/100km,23950
2018,Toyota,RAV4,81576 km,SUV,4 Cylinder Engine,Automatic,FWD,Black,Black,5,null,Regular Unleaded,10.0L/100km,7.8L/100km,23998
2019,Toyota,C-HR,116000 km,SUV,4 Cylinder Engine,CVT,FWD,Magnetic Grey Metallic,Black,5,4,Gas,8.7L/100km,7.5L/100km,24450
2021,Toyota,RAV4,25537 km,SUV,I-4 cyl,CVT,4WD,Magnetic Grey Metallic,null,null,null,Gasoline Hybrid,5.8L/100km,6.3L/100km,49888
2020,Toyota,Corolla,83772 km,Sedan,4 Cylinder Engine,Automatic,FWD,Barcelona Red Metallic,Black,5,4,Gas,7.9L - 8.1L/100km,6.0L - 6.3L/100km,24590
2020,Toyota,Corolla,87841 km,Hatchback,4 Cylinder Engine,CVT,FWD,WHITE,Black,5,4,Gas,7.5L - 8.4L/100km,5.8L - 6.3L/100km,24595
2017,Toyota,RAV4,89032 km,SUV,I-4 cyl,6 Speed Automatic,4WD,Magnetic Grey Metallic,null,null,null,Gas,10.5L/100km,8.3L/100km,24888
2016,Toyota,RAV4,94436 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,Silver Sky Metallic,null,5,4,Gas,10.6L/100km,8.1L/100km,24900
2019,Toyota,C-HR,66662 km,SUV,4 Cylinder Engine,Automatic,FWD,Ruby Flare Pearl,Black,null,null,Gas,8.7L/100km,7.5L/100km,24939
2019,Toyota,C-HR,84000 km,SUV,4 Cylinder Engine,CVT,FWD,Magnetic Grey Metallic,Black,5,4,Gas,8.7L/100km,7.5L/100km,24950
2018,Toyota,RAV4,92430 km,SUV,4 Cylinder Engine 2.5L,Automatic,FWD,null,null,null,4,Gas,10.0L/100km,7.8L/100km,24998
2017,Toyota,RAV4,96614 km,SUV,I-4 cyl,6 Speed Automatic,FWD,Alpine White,Black,null,null,Regular Unleaded,10.0L/100km,7.8L/100km,24998
2016,Toyota,Highlander,259422 km,SUV,V6 Cylinder Engine,Automatic,AWD,Maroon,Black,8,null,Regular Unleaded,8.4L/100km,8.3L/100km,24998
2020,Toyota,RAV4,28635 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Super White,Black,5,4,Gas,9.2L/100km,7.1L/100km,34595
2018,Toyota,Camry,73000 km,Sedan,4 Cylinder Engine,8 Speed Automatic,FWD,White,Black,5,4,Gas,8.4L - 8.5L/100km,6.0L - 6.1L/100km,25450
2013,Toyota,Highlander,141427 km,SUV,3.5L 6cyl,CVT,AWD,Shoreline Blue Pearl,Beige,7,4,Gas,6.6L/100km,7.3L/100km,25888
2019,Toyota,C-HR,49680 km,Hatchback,4 Cylinder Engine,Automatic,FWD,White,Black,5,null,Gas,8.7L/100km,7.5L/100km,25950
2019,Toyota,C-HR,71259 km,SUV,: 2.0L I-4 DOHC 16-Valve VVT-i,CVT,FWD,Blue,null,null,null,Gas,8.7L/100km,7.5L/100km,25979
2019,Toyota,C-HR,71000 km,SUV,2.0,Automatic,FWD,Black Sand Pearl,Black,5,4,Gas,8.7L/100km,7.5L/100km,25990
2021,Toyota,Corolla,62100 km,Sedan,1.8L 4-Cylinder DOHC 16V,CVT,FWD,Super White,null,null,4,Gas,7.9L - 8.1L/100km,6.0L - 6.3L/100km,25995
2016,Toyota,4Runner,259254 km,SUV,V6 Cylinder Engine,Automatic,4WD,Midnight Black Metallic,Black,7,null,Regular Unleaded,14.2L/100km,11.1L/100km,25998
2018,Toyota,RAV4,98000 km,SUV,4 Cylinder Engine,Automatic,AWD,Black,Black,5,4,Gas,10.5L/100km,8.3L/100km,26450
2018,Toyota,RAV4,111937 km,SUV,I-4 cyl,6 Speed Automatic,4WD,Ruby Flare Pearl,null,null,null,Gas,10.5L/100km,8.3L/100km,26498
2022,Toyota,Tundra,14206 km,Crew Cab,6,Automatic,4x4,Magnetic Grey Metallic,Black,5,4,Gas,13.5L/100km,10.6L/100km,77995
2021,Toyota,Corolla,66000 km,Sedan,4 Cylinder Engine,CVT,FWD,Silver,Black,5,4,Gas,7.9L - 8.1L/100km,6.0L - 6.3L/100km,26850
